            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  4.280725920910532E-03,  1.770331312221239E-03,  9.770184359046939E+01,  1.676925415578692E+02,  4.091177224118491E+01,  2.458960713728023E+06,  8.687044366516254E+01,  2.615125436180344E+02,  2.610277694565146E+02,  1.777942195463239E-03,  1.785553078705240E-03,  4.144102237898090E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  4.129871599696653E-03,  1.770146571176151E-03,  9.770190643104709E+01,  1.676925988060781E+02,  3.560783596809861E+01,  2.458968941547261E+06,  8.690378886840304E+01,  1.387377918060915E+02,  1.390486937998579E+02,  1.777487365766851E-03,  1.784828160357551E-03,  4.142512135404614E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  3.315790187824886E-03,  1.771568432581927E-03,  9.770193500922504E+01,  1.676926618427956E+02,  3.419803965639869E+01,  2.458981357495570E+06,  8.690564005421044E+01,  1.203681615885593E+01,  1.211637583433257E+01,  1.777462124052089E-03,  1.783355815522252E-03,  4.142423895335646E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  3.318560972091535E-03,  1.772597109837457E-03,  9.770199690856570E+01,  1.676927322395165E+02,  3.615852830691264E+01,  2.458993813106546E+06,  8.682963905575156E+01,  2.419892691310637E+02,  2.416541908256688E+02,  1.778499167764497E-03,  1.784401225691537E-03,  4.146049711998126E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  3.393362061764937E-03,  1.771997034438620E-03,  9.770203040698381E+01,  1.676928134683281E+02,  4.735258036403867E+01,  2.459002229618623E+06,  8.686396958971245E+01,  1.027063399549626E+02,  1.030853113822244E+02,  1.778030535803476E-03,  1.784064037168331E-03,  4.144411102789801E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  3.795680623096165E-03,  1.771375760080694E-03,  9.770209983791933E+01,  1.676928378547402E+02,  5.136104505229991E+01,  2.459014708448487E+06,  8.685705094605240E+01,  3.306033625367201E+02,  3.303889791847863E+02,  1.778124954515994E-03,  1.784874148951294E-03,  4.144741228016120E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  4.052221585207724E-03,  1.770535351811498E-03,  9.770212019016887E+01,  1.676929005796079E+02,  5.001527793040324E+01,  2.459027125238760E+06,  8.688532740911796E+01,  2.038463218759319E+02,  2.036594582410555E+02,  1.777739144746710E-03,  1.784942937681921E-03,  4.143392339478261E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  4.330270651500234E-03,  1.769594046560948E-03,  9.770215982495958E+01,  1.676929770318973E+02,  4.021509350250526E+01,  2.459035301629467E+06,  8.691825086040910E+01,  8.555976486975601E+01,  8.605468926387834E+01,  1.777290194127779E-03,  1.784986341694610E-03,  4.141822878812423E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  4.430030586458896E-03,  1.770318046678262E-03,  9.770222480918490E+01,  1.676930529268261E+02,  3.943218093679459E+01,  2.459047724421775E+06,  8.685188171625725E+01,  3.182744648032225E+02,  3.179351956873482E+02,  1.778195507163701E-03,  1.786072967649140E-03,  4.144987913746190E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  3.971001100424982E-03,  1.770865320662360E-03,  9.770226848987853E+01,  1.676931189159808E+02,  3.727663127491199E+01,  2.459060131996640E+06,  8.687166988435460E+01,  1.923379690135954E+02,  1.922412057290111E+02,  1.777925464638915E-03,  1.784985608615471E-03,  4.144043742675139E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  3.478527865933510E-03,  1.772034680520580E-03,  9.770231679891010E+01,  1.676931763850272E+02,  3.795562013912508E+01,  2.459068428134034E+06,  8.685006757472871E+01,  6.356260862871337E+01,  6.392022241903926E+01,  1.778220269279034E-03,  1.784405858037489E-03,  4.145074495080201E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  3.249186955150183E-03,  1.772427579451753E-03,  9.770235068078210E+01,  1.676932227929453E+02,  3.883537972348617E+01,  2.459080871162895E+06,  8.685116419091425E+01,  2.945869257630605E+02,  2.942477839793996E+02,  1.778205300919078E-03,  1.783983022386403E-03,  4.145022157776218E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  3.724634849520009E-03,  1.770687240984524E-03,  9.770240603356667E+01,  1.676932834555773E+02,  4.809661523710356E+01,  2.459089267114829E+06,  8.691701357986503E+01,  1.572228969192346E+02,  1.573874292203997E+02,  1.777307060801484E-03,  1.783926880618443E-03,  4.141881838464323E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  3.782988173747658E-03,  1.771172175973417E-03,  9.770245078355391E+01,  1.676933460276331E+02,  5.374888651316033E+01,  2.459101763675633E+06,  8.687368704598501E+01,  2.348407446293115E+01,  2.365757316440822E+01,  1.777897942865407E-03,  1.784623709757397E-03,  4.143947520144281E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  4.145088027284100E-03,  1.770338256506822E-03,  9.770250127339774E+01,  1.676934293519044E+02,  5.299220959824819E+01,  2.459114187158079E+06,  8.688768340234674E+01,  2.561554832442087E+02,  2.556948663893349E+02,  1.777707008543956E-03,  1.785075760581091E-03,  4.143279989788251E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  4.220992017988527E-03,  1.770509101744233E-03,  9.770254904486615E+01,  1.676935167006419E+02,  4.467443882987206E+01,  2.459122379949725E+06,  8.686517513553774E+01,  1.363826921488499E+02,  1.367150883076547E+02,  1.778014085004911E-03,  1.785519068265588E-03,  4.144353585177071E+00,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  4.566997995466119E-03,  1.770480497285819E-03,  9.770261428563241E+01,  1.676935470911407E+02,  4.079266460498892E+01,  2.459134767822236E+06,  8.682200820332115E+01,  1.217051492314083E+01,  1.228146521391817E+01,  1.778603375335706E-03,  1.786726253385593E-03,  4.146414111465220E+00,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  4.055117493598593E-03,  1.770461500562787E-03,  9.770263722650603E+01,  1.676935959523254E+02,  3.974137713785999E+01,  2.459147187825426E+06,  8.689038485946722E+01,  2.451460800690250E+02,  2.447253358708509E+02,  1.777670161934294E-03,  1.784878823305802E-03,  4.143151173541797E+00,
