            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.914179571267274E-02,  1.457689450367410E-03,  1.204149194924872E+00,  3.252049269226354E+02,  2.269281038234136E+02,  2.458959507467562E+06,  5.315820013180066E+02,  3.855693862476215E+01,  3.995003335625501E+01,  1.486136776952933E-03,  1.514584103538455E-03,  6.772238320850112E-01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.619292124554013E-02,  1.463738294548494E-03,  1.141131262445420E+00,  3.373070814092572E+02,  2.323605432126026E+02,  2.458970331970725E+06,  5.306744792616415E+02,  1.093344784552976E+02,  1.110734742428806E+02,  1.487830618581893E-03,  1.511922942615293E-03,  6.783819725057988E-01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.524528003345762E-02,  1.463779327657846E-03,  1.194726495233759E+00,  3.493966151097149E+02,  2.266003561867948E+02,  2.458981813560005E+06,  5.314190671603639E+02,  1.912425581480877E+02,  1.909082173411197E+02,  1.486440529787538E-03,  1.509101731917230E-03,  6.774314702776075E-01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.800263134803036E-02,  1.458228090331896E-03,  1.342444768082233E+00,  3.587603945342333E+02,  2.247359773970283E+02,  2.458992619166816E+06,  5.322133161468333E+02,  2.720960210696287E+02,  2.700331993986156E+02,  1.484961301203555E-03,  1.511694512075214E-03,  6.764205048576405E-01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.045238638199897E-02,  1.458758637990083E-03,  1.556688819530246E+00,  4.119120828600894E+00,  2.357168399024717E+02,  2.459003442136580E+06,  5.299337820545742E+02,  3.440296082713312E+02,  3.433685522645206E+02,  1.489216672788467E-03,  1.519674707586852E-03,  6.793301582025321E-01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  1.873813927983953E-02,  1.457022255596381E-03,  1.797777933307177E+00,  6.521705771356330E+00,  2.523386529322865E+02,  2.459014269917710E+06,  5.322755787488665E+02,  5.327135878572847E+01,  5.501647993932907E+01,  1.484845497334477E-03,  1.512668739072573E-03,  6.763413809932692E-01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.602494342542620E-02,  1.461513936446030E-03,  2.053329930657195E+00,  6.614603805782873E+00,  2.658345657297399E+02,  2.459025087357109E+06,  5.320226632918657E+02,  1.280274715894945E+02,  1.294561833153932E+02,  1.485316041987762E-03,  1.509118147529494E-03,  6.766629033667788E-01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.555015542974235E-02,  1.463434597950118E-03,  2.298192871794829E+00,  5.236939806389803E+00,  2.747671140992525E+02,  2.459036570708931E+06,  5.313599961590651E+02,  2.087170632357332E+02,  2.078752698663755E+02,  1.486550692269094E-03,  1.509666786588069E-03,  6.775067799651073E-01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.815164397206930E-02,  1.459362486708440E-03,  2.532738764720423E+00,  2.823868843722251E+00,  2.871794732130293E+02,  2.459047381316896E+06,  5.314718892932300E+02,  2.870199297004730E+02,  2.850181172124724E+02,  1.486342038206687E-03,  1.513321589704935E-03,  6.773641414576802E-01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.977047106838607E-02,  1.457428346926295E-03,  2.738689277875336E+00,  3.596978214091338E+02,  3.088335805222991E+02,  2.459058208111119E+06,  5.312137329011413E+02,  3.567536894478880E+02,  3.566221539318100E+02,  1.486823548883287E-03,  1.516218750840279E-03,  6.776933232390585E-01,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  1.774203992204174E-02,  1.457717549108851E-03,  2.921803264289107E+00,  3.561176423105721E+02,  3.318459016155198E+02,  2.459069036770686E+06,  5.327049134122659E+02,  6.564486136646279E+01,  6.751377607158415E+01,  1.484047580528803E-03,  1.510377611948754E-03,  6.757962822118598E-01,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  1.515686949344577E-02,  1.465401535567284E-03,  3.066453638075834E+00,  3.521391372126830E+02,  3.497393947352755E+02,  2.459079854117823E+06,  5.306083338915007E+02,  1.400180822133131E+02,  1.411180414284200E+02,  1.487954264161395E-03,  1.510506992755505E-03,  6.784665392639935E-01,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  1.564086947780466E-02,  1.462031344564854E-03,  3.179258874059071E+00,  3.480258499347387E+02,  1.620244390500885E+00,  2.459091338268351E+06,  5.320516274612155E+02,  2.204596970791548E+02,  2.193137764461180E+02,  1.485262135770770E-03,  1.508492926976686E-03,  6.766260667556038E-01,
