            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  2.868090310722963E-02,  7.931973516179034E-03,  2.769905155814033E+01,  1.690691417900636E+02,  1.746645623337505E+02,  2.458952841370356E+06,  2.257444615044044E+01,  2.647500511060788E+02,  2.614897109607262E+02,  8.166187138246588E-03,  8.400400760314142E-03,  1.594723509940801E+01,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  2.862801691645124E-02,  7.932459020841819E-03,  2.769904432457648E+01,  1.690690109031520E+02,  1.748625636592631E+02,  2.458952848856551E+06,  2.257421723437984E+01,  1.519502944571353E+02,  1.534454702269138E+02,  8.166242344833553E-03,  8.400025668825287E-03,  1.594739681390728E+01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  2.871099498786274E-02,  7.931626696089114E-03,  2.769926108141316E+01,  1.690686047389145E+02,  1.748786329487853E+02,  2.458968795618714E+06,  2.257487769991593E+01,  3.933404444392239E+01,  4.147837026772457E+01,  8.166083066069505E-03,  8.400539436049896E-03,  1.594693024633044E+01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.869599238290141E-02,  7.932002174021078E-03,  2.769912905449362E+01,  1.690685063891882E+02,  1.746888862538821E+02,  2.458984733316662E+06,  2.257379778006361E+01,  2.869214683214198E+02,  2.837439734112130E+02,  8.166343505037798E-03,  8.400684836054516E-03,  1.594769313996156E+01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.863801345633486E-02,  7.932153515685113E-03,  2.769943305258823E+01,  1.690684128002411E+02,  1.748483410645821E+02,  2.458984739286872E+06,  2.257517291709485E+01,  1.741609828817183E+02,  1.744833428874270E+02,  8.166011873606034E-03,  8.399870231526952E-03,  1.594672170716323E+01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.871051229661251E-02,  7.931914407651144E-03,  2.769944022417283E+01,  1.690681776426093E+02,  1.749789969521889E+02,  2.459000690702158E+06,  2.257366626235309E+01,  6.142966929456367E+01,  6.436816169721891E+01,  8.166375223936732E-03,  8.400836040222319E-03,  1.594778605371627E+01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.871278567960223E-02,  7.931588661749974E-03,  2.769969352068333E+01,  1.690680693199509E+02,  1.747888933699597E+02,  2.459016628352528E+06,  2.257497765024269E+01,  3.090177421457504E+02,  3.064032532810330E+02,  8.166058962589810E-03,  8.400529263429646E-03,  1.594685964157000E+01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.862350483946674E-02,  7.932549156212025E-03,  2.769973708046188E+01,  1.690674228315497E+02,  1.748522822376659E+02,  2.459032577341866E+06,  2.257398976380493E+01,  1.963534309383005E+02,  1.954606339929211E+02,  8.166297203743912E-03,  8.400045251275799E-03,  1.594755751051251E+01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  2.869087730929626E-02,  7.931795258888923E-03,  2.769979818581320E+01,  1.690676169992019E+02,  1.749971251770135E+02,  2.459032582428631E+06,  2.257485942709166E+01,  8.360760303571956E+01,  8.688619989168397E+01,  8.166087472664112E-03,  8.400379686439299E-03,  1.594694315429361E+01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.874633405970341E-02,  7.931551977061179E-03,  2.769988430667239E+01,  1.690670995086575E+02,  1.748583451582649E+02,  2.459048522238950E+06,  2.257396465793388E+01,  3.311450791156807E+02,  3.295040132446676E+02,  8.166303258564725E-03,  8.401054540068271E-03,  1.594757524675551E+01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  2.864289549676939E-02,  7.932230715153201E-03,  2.769999264378840E+01,  1.690673532979576E+02,  1.748852878707984E+02,  2.459064469381606E+06,  2.257467316205889E+01,  2.185159086559201E+02,  2.165281114404966E+02,  8.166132391866209E-03,  8.400034068579218E-03,  1.594707473351374E+01,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  2.866097711041208E-02,  7.932096964315684E-03,  2.770022391307430E+01,  1.690669294104894E+02,  1.750459662233168E+02,  2.459064475288219E+06,  2.257461379751062E+01,  1.057555592153804E+02,  1.088844515571273E+02,  8.166146708199661E-03,  8.400196452083638E-03,  1.594711666959718E+01,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  2.875419680545013E-02,  7.931516784597664E-03,  2.770024956054305E+01,  1.690667832696554E+02,  1.749297818942447E+02,  2.459080416174299E+06,  2.257384077927307E+01,  3.532690608397448E+02,  3.528685950366927E+02,  8.166333134732634E-03,  8.401149484867603E-03,  1.594766276240178E+01,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  2.867146188842985E-02,  7.931892805003643E-03,  2.770049613298699E+01,  1.690664571332724E+02,  1.749023044277146E+02,  2.459096360761446E+06,  2.257511985273663E+01,  2.406958769627985E+02,  2.378813565197089E+02,  8.166024670112760E-03,  8.400156535221876E-03,  1.594675919101974E+01,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  2.864445002035017E-02,  7.932435637454344E-03,  2.770035271021423E+01,  1.690662002580733E+02,  1.751046898555317E+02,  2.459096368452707E+06,  2.257374420528095E+01,  1.278926153733669E+02,  1.304263649187290E+02,  8.166356425945712E-03,  8.400277214437082E-03,  1.594773098898590E+01,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  2.873453806497991E-02,  7.931383911916966E-03,  2.770063038077715E+01,  1.690662971943153E+02,  1.750307750138217E+02,  2.459112311401883E+06,  2.257509343110910E+01,  1.536456607398377E+01,  1.626822464865607E+01,  8.166031041725228E-03,  8.400678171533489E-03,  1.594677785492175E+01,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  2.868374698881503E-02,  7.932107436163141E-03,  2.770064729942588E+01,  1.690660329218084E+02,  1.748937138722543E+02,  2.459128251430751E+06,  2.257377531736129E+01,  2.629004686765116E+02,  2.596548826537711E+02,  8.166348922477877E-03,  8.400590408792614E-03,  1.594770900918497E+01,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  2.865124478507605E-02,  7.932084309175497E-03,  2.770088917978523E+01,  1.690660346195146E+02,  1.750978788952768E+02,  2.459128259282358E+06,  2.257500710305767E+01,  1.500948480043294E+02,  1.516821874889334E+02,  8.166051859942330E-03,  8.400019410709161E-03,  1.594683883626508E+01,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  2.873872976502969E-02,  7.931621470399199E-03,  2.770100144605102E+01,  1.690654557673658E+02,  1.751423057201549E+02,  2.459144207010010E+06,  2.257393309061434E+01,  3.744992903950708E+01,  3.951069601810635E+01,  8.166310871718749E-03,  8.401000273038299E-03,  1.594759754779634E+01,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  2.870049305195437E-02,  7.931752097678357E-03,  2.770105383401883E+01,  1.690655811609136E+02,  1.749697914286722E+02,  2.459160145411839E+06,  2.257470846049033E+01,  2.850200960636533E+02,  2.818154994912299E+02,  8.166123879338717E-03,  8.400495660999078E-03,  1.594704979823162E+01,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  2.863785801745862E-02,  7.932316802706006E-03,  2.770117548892321E+01,  1.690650888577050E+02,  1.750972148556925E+02,  2.459160149832850E+06,  2.257448127319222E+01,  1.722922143950385E+02,  1.727172509211726E+02,  8.166178667943778E-03,  8.400040533181552E-03,  1.594721028772915E+01,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  2.872613015785344E-02,  7.931661432189277E-03,  2.770117364658367E+01,  1.690653800537496E+02,  1.752042297150747E+02,  2.459176100544039E+06,  2.257420174658665E+01,  5.958361137338868E+01,  6.247362623869510E+01,  8.166246079983957E-03,  8.400830727778639E-03,  1.594740775515724E+01,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  2.873267347807092E-02,  7.931494943909970E-03,  2.770147613087318E+01,  1.690650613510341E+02,  1.750428016085395E+02,  2.459192039392222E+06,  2.257468440042912E+01,  3.071438095386914E+02,  3.044621223677024E+02,  8.166129681631882E-03,  8.400764419353793E-03,  1.594706679457085E+01,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  2.863379350505774E-02,  7.932453761159078E-03,  2.770150447412868E+01,  1.690649306587678E+02,  1.751221485359084E+02,  2.459207989090101E+06,  2.257403831882322E+01,  1.944625430526589E+02,  1.936705852224534E+02,  8.166285493688710E-03,  8.400117226218343E-03,  1.594752320854422E+01,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  2.869505378460466E-02,  7.931702395932681E-03,  2.770175395618941E+01,  1.690647323909199E+02,  1.752420955354179E+02,  2.459207993083470E+06,  2.257511027701280E+01,  8.174258997391820E+01,  8.501178246480161E+01,  8.166026979310530E-03,  8.400351562688379E-03,  1.594676595518435E+01,
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  2.876227097209898E-02,  7.931539129081682E-03,  2.770166187102869E+01,  1.690643425782773E+02,  1.750860346642379E+02,  2.459223932152146E+06,  2.257346389814699E+01,  3.292966546504912E+02,  3.275604399368384E+02,  8.166424029902806E-03,  8.401308930723930E-03,  1.594792902074509E+01,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  2.866445807522473E-02,  7.931906495744457E-03,  2.770190486520728E+01,  1.690645104479435E+02,  1.751476068561362E+02,  2.459239880603718E+06,  2.257530557298416E+01,  2.166331804831133E+02,  2.147284186947515E+02,  8.165979883765788E-03,  8.400053271787122E-03,  1.594662800182920E+01,
2459244.488000000, A.D. 2021-Jan-29 23:42:43.2000,  2.867270076560969E-02,  7.932187815358304E-03,  2.770189666190655E+01,  1.690642457429189E+02,  1.753287645604143E+02,  2.459239887441244E+06,  2.257381727132096E+01,  1.038521727055563E+02,  1.070135113244474E+02,  8.166338804242952E-03,  8.400489793127602E-03,  1.594767937000022E+01,
2459255.446000000, A.D. 2021-Feb-09 22:42:14.4000,  2.875086443501847E-02,  7.931328758735923E-03,  2.770213464375364E+01,  1.690644214338137E+02,  1.751833333416603E+02,  2.459255827190042E+06,  2.257475969333218E+01,  3.513947264075208E+02,  3.508836391691537E+02,  8.166111524127349E-03,  8.400894289518774E-03,  1.594701360680849E+01,
2459266.404000000, A.D. 2021-Feb-20 21:41:45.6000,  2.867541111735345E-02,  7.932061885838006E-03,  2.770230533515333E+01,  1.690638673647872E+02,  1.751326326450677E+02,  2.459271770951080E+06,  2.257426036102977E+01,  2.388450489784422E+02,  2.360853173106448E+02,  8.166231944115173E-03,  8.400402002392339E-03,  1.594736634744731E+01,
2459277.362000000, A.D. 2021-Mar-03 20:41:16.8000,  2.867052863839459E-02,  7.932046456622177E-03,  2.770231979310634E+01,  1.690639686140192E+02,  1.753461180173974E+02,  2.459271779145652E+06,  2.257449643641181E+01,  1.260301255778257E+02,  1.286312666711839E+02,  8.166175011145364E-03,  8.400303565668548E-03,  1.594719957603721E+01,
2459288.320000000, A.D. 2021-Mar-14 19:40:48.0000,  2.875562992950993E-02,  7.931363565516729E-03,  2.770249550453799E+01,  1.690635099621441E+02,  1.753007509973385E+02,  2.459287723101297E+06,  2.257444494412763E+01,  1.347465689170984E+01,  1.427022109921057E+01,  8.166187429164810E-03,  8.401011292812890E-03,  1.594723595158197E+01,
2459299.278000000, A.D. 2021-Mar-25 18:40:19.2000,  2.868749159143912E-02,  7.931965544238475E-03,  2.770245550048694E+01,  1.690637503942167E+02,  1.751696632547215E+02,  2.459303663376932E+06,  2.257425049817953E+01,  2.610034026091947E+02,  2.577763157813667E+02,  8.166234322704791E-03,  8.400503101171106E-03,  1.594737331496484E+01,
