            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  6.185525498774222E-03,  8.556362263941899E-04,  2.220156859134692E+00,  3.380973038887650E+02,  1.951298251404528E+02,  2.458959578639750E+06,  1.205542905177005E+03,  1.639839173674569E+00,  1.660280877069847E+00,  8.609617271107018E-04,  8.662872278272137E-04,  2.986206450670809E-01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  7.191450711273680E-03,  8.559823207989122E-04,  2.224958606291856E+00,  3.376531572575235E+02,  2.505080293923495E+02,  2.458970530376981E+06,  1.202983055997553E+03,  9.170362748000811E+00,  9.302872165462112E+00,  8.621826649379278E-04,  8.683830090769434E-04,  2.992560852833262E-01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  5.741436438500992E-03,  8.544745988694167E-04,  2.207762779822605E+00,  3.375531419918030E+02,  3.199469209675997E+02,  2.458981494020970E+06,  1.208811868533292E+03,  2.392274527614622E+00,  2.419935013161669E+00,  8.594088400995340E-04,  8.643430813296513E-04,  2.978130918228034E-01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  8.736444693453208E-03,  8.564521071491430E-04,  2.205055963216400E+00,  3.380104035285359E+02,  2.059622620653571E+01,  2.458992450856252E+06,  1.199188695659824E+03,  3.769947502018740E+00,  3.836496703220286E+00,  8.640003988488070E-04,  8.715486905484711E-04,  3.002029633058865E-01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  6.062949187378121E-03,  8.539591398364709E-04,  2.223104210260699E+00,  3.380465429046109E+02,  7.747916206176461E+01,  2.459003404290353E+06,  1.209319689097572E+03,  9.323428263428141E+00,  9.436832704801875E+00,  8.591682331776364E-04,  8.643773265188020E-04,  2.976880334005328E-01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  8.281385275267471E-03,  8.558069333711836E-04,  2.223008235761808E+00,  3.375782391700771E+02,  1.564218780204126E+02,  2.459014375452340E+06,  1.201371809935437E+03,  3.534497131041291E+02,  3.533403340439071E+02,  8.629533828088188E-04,  8.700998322464541E-04,  2.996574391231526E-01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  7.055988288034752E-03,  8.550928502660581E-04,  2.205170071686430E+00,  3.376089410549814E+02,  2.074076049645605E+02,  2.459025323981769E+06,  1.205107166494370E+03,  4.842399506485419E+00,  4.911258950698824E+00,  8.611692504109735E-04,  8.672456505558890E-04,  2.987286193370104E-01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  6.975859437559885E-03,  8.554643561168162E-04,  2.207436819801583E+00,  3.380740718817387E+02,  2.811694180881937E+02,  2.459036291647067E+06,  1.204468014824729E+03,  3.531982881695289E+02,  3.531027887855077E+02,  8.614738767904362E-04,  8.674833974640563E-04,  2.988871398568324E-01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  6.333998354098649E-03,  8.554379855273854E-04,  2.225270820077696E+00,  3.379838971142234E+02,  3.405601027374249E+02,  2.459047246999551E+06,  1.205691751271595E+03,  3.563834662907373E+02,  3.563373179392751E+02,  8.608908668611423E-04,  8.663437481948993E-04,  2.985837794944872E-01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  7.080756165975977E-03,  8.564364502508358E-04,  2.220320069655795E+00,  3.375303522275383E+02,  4.255525518805130E+01,  2.459058204197510E+06,  1.202227389681303E+03,  3.573580936482786E+02,  3.573203600139081E+02,  8.625439133839542E-04,  8.686513765170726E-04,  2.994441842615414E-01,
