            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  7.172443493593058E-03,  1.249468905524213E-02,  1.965457141066851E+00,  3.368885385618652E+02,  2.943553223776481E+01,  2.458951543152328E+06,  2.156969901519812E+01,  1.733523853185573E+02,  1.734466906473105E+02,  1.258495392614689E-02,  1.267521879705165E-02,  1.669007990080632E+01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  7.244672650292195E-03,  1.249431238516756E-02,  1.965473316363894E+00,  3.368881531050201E+02,  3.014603509831415E+01,  2.458968265160707E+06,  2.156832053752551E+01,  4.902132640015562E+01,  4.965180323336885E+01,  1.258549014138538E-02,  1.267666789760319E-02,  1.669114659964628E+01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  7.322776068148247E-03,  1.249388633595961E-02,  1.965550933675398E+00,  3.368885430590078E+02,  2.849221313118890E+01,  2.458984878456521E+06,  2.156687842725304E+01,  2.870509714123039E+02,  2.862465952246129E+02,  1.258605117026169E-02,  1.267821600456377E-02,  1.669226268485314E+01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  7.237990551199803E-03,  1.249389036955768E-02,  1.965590514301549E+00,  3.368879383036584E+02,  2.870814738173824E+01,  2.458984887169195E+06,  2.156963111251538E+01,  1.632137491586916E+02,  1.634512268222761E+02,  1.258498033833357E-02,  1.267607030710947E-02,  1.669013244232613E+01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  7.189259346556234E-03,  1.249407003352561E-02,  1.965665478185358E+00,  3.368873916896163E+02,  2.858660663969610E+01,  2.459001571422876E+06,  2.157075401073744E+01,  3.970263636797304E+01,  4.023255595841577E+01,  1.258454358108809E-02,  1.267501712865058E-02,  1.668926361224090E+01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  7.148996877900277E-03,  1.249600670174343E-02,  1.965728733723066E+00,  3.368884943869265E+02,  2.841541022007666E+01,  2.459018253324422E+06,  2.156705143530842E+01,  2.762481424615353E+02,  2.754330287537812E+02,  1.258598386107153E-02,  1.267596102039964E-02,  1.669212878171317E+01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  7.178048725438871E-03,  1.249522642352285E-02,  1.965767432909654E+00,  3.368880531078436E+02,  3.016617281924512E+01,  2.459018332704766E+06,  2.156812494128084E+01,  1.508754016182936E+02,  1.512726246483369E+02,  1.258556623116741E-02,  1.267590603881196E-02,  1.669129796772316E+01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  7.264681708965508E-03,  1.249357777766456E-02,  1.965843387862352E+00,  3.368899601529071E+02,  2.959049487966164E+01,  2.459034995807591E+06,  2.156957073193007E+01,  2.782889640922392E+01,  2.822066326993569E+01,  1.258500382475754E-02,  1.267642987185051E-02,  1.669017916369942E+01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  7.244250939331899E-03,  1.249422894810759E-02,  1.965856282599997E+00,  3.368898166034873E+02,  2.846571885783865E+01,  2.459051633320293E+06,  2.156855033240232E+01,  2.653287243226362E+02,  2.645019901272029E+02,  1.258540074930763E-02,  1.267657255050768E-02,  1.669096876942971E+01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  7.141916411827088E-03,  1.249570422562634E-02,  1.965936923053840E+00,  3.368913616636058E+02,  2.996040448570067E+01,  2.459051701400315E+06,  2.156806524659521E+01,  1.402053581503263E+02,  1.407255906666172E+02,  1.258558945349679E-02,  1.267547468136724E-02,  1.669134416481007E+01,
