            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.996700213469758E-01,  6.303621324581517E-02,  3.053321338158509E+01,  9.086833559042014E+01,  1.993195638429506E+02,  2.458857365077803E+06,  1.377770538269768E+00,  1.408287083745245E+02,  1.528411607652835E+02,  7.876277901261017E-02,  9.448934477940515E-02,  2.612916955330567E+02,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.988781733902873E-01,  6.320976975605937E-02,  3.050404052817704E+01,  9.087069614006980E+01,  2.000594505829546E+02,  2.458857810942752E+06,  1.374136812039973E+00,  1.549023990777234E+02,  1.627599854223353E+02,  7.890156984432486E-02,  9.459336993259036E-02,  2.619826474669306E+02,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.987328044278151E-01,  6.326799136171633E-02,  3.047152835836445E+01,  9.086156014201980E+01,  2.007450023416162E+02,  2.458858391803540E+06,  1.372613969632219E+00,  1.689745397806108E+02,  1.724695528456621E+02,  7.895991713043569E-02,  9.465184289915506E-02,  2.622733033210051E+02,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.993368147367952E-01,  6.319695024280797E-02,  3.043810880079123E+01,  9.083962435602861E+01,  2.014100303359373E+02,  2.459121283942716E+06,  1.373374721321262E+00,  1.830682133239492E+02,  1.820904833128148E+02,  7.893075566104991E-02,  9.466456107929185E-02,  2.621280226081781E+02,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.006502406543584E-01,  6.300377189578965E-02,  3.040645812347738E+01,  9.080546827690050E+01,  2.020945535344534E+02,  2.459121700334186E+06,  1.376302464210882E+00,  1.971994741718898E+02,  1.917293522952106E+02,  7.881877883764594E-02,  9.463378577950224E-02,  2.615704101106946E+02,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.024985503851272E-01,  6.271522453434931E-02,  3.037910656100567E+01,  9.076166817629765E+01,  2.028238784225049E+02,  2.459121979219096E+06,  1.381007985562994E+00,  2.113908091081977E+02,  2.015097154483130E+02,  7.863963703719358E-02,  9.456404954003785E-02,  2.606791588198088E+02,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.046117752296290E-01,  6.237305469353030E-02,  3.035804128512978E+01,  9.071266307529025E+01,  2.035925247420996E+02,  2.459122179755095E+06,  1.386856911759702E+00,  2.256804740306603E+02,  2.115987883411380E+02,  7.841837828506630E-02,  9.446370187660230E-02,  2.595797713141271E+02,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  2.066887049882228E-01,  6.202675515998978E-02,  3.034429961536754E+01,  9.066429335943461E+01,  2.043566184406845E+02,  2.459122340658041E+06,  1.393013430265896E+00,  2.401247056113511E+02,  2.222268891505672E+02,  7.818715748786730E-02,  9.434755981574482E-02,  2.584325406907842E+02,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.084767287471019E-01,  6.172471460807286E-02,  3.033762170152236E+01,  9.062294456586247E+01,  2.050368028673245E+02,  2.459122473155023E+06,  1.398509227772856E+00,  2.547913325031953E+02,  2.336978831143488E+02,  7.798218555263589E-02,  9.423965649719893E-02,  2.574169643294414E+02,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  2.098538249579039E-01,  6.150467214704975E-02,  3.033626231493538E+01,  9.059430436223104E+01,  2.055329306453687E+02,  2.459122562089294E+06,  1.402353303137240E+00,  2.697444161884446E+02,  2.463881874938619E+02,  7.783961258025834E-02,  9.417455301346693E-02,  2.567113431363088E+02,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  2.108885345660504E-01,  6.138461553671390E-02,  3.033709171257357E+01,  9.058179408633441E+01,  2.057529489152983E+02,  2.459122576495881E+06,  1.403707629687499E+00,  2.850188571805056E+02,  2.607268379374335E+02,  7.778953699900580E-02,  9.419445846129772E-02,  2.564636626504232E+02,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  2.118301372056577E-01,  6.135676624417750E-02,  3.033613406501927E+01,  9.058504556045132E+01,  2.056557721115465E+02,  2.459122490941689E+06,  1.402150024321457E+00,  3.005867787801503E+02,  2.771422071648171E+02,  7.784713567535551E-02,  9.433750510653351E-02,  2.567485602506871E+02,
