            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  9.100857006482947E-02,  1.365710501601233E+00,  1.854579047007270E+00,  4.932864981412190E+01,  2.919268367035740E+02,  2.459072224324215E+06,  5.355459692404567E-01,  3.055422989396679E+02,  2.964954973183080E+02,  1.502445960022566E+00,  1.639181418443900E+00,  6.722112025426565E+02,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  8.950777135630487E-02,  1.366903579697186E+00,  1.855134976619571E+00,  4.935036141387152E+01,  2.917431607134207E+02,  2.459072098768596E+06,  5.361700969079753E-01,  3.114215047817115E+02,  3.031467242318542E+02,  1.501279787674167E+00,  1.635655995651148E+00,  6.714287165137969E+02,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  8.805295533751774E-02,  1.368196910750155E+00,  1.855612860197233E+00,  4.937414158225651E+01,  2.913513829886119E+02,  2.459071634660491E+06,  5.366937866915800E-01,  3.175042314884479E+02,  3.101091043568854E+02,  1.500303026100089E+00,  1.632409141450023E+00,  6.707735564057871E+02,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  8.672199453933735E-02,  1.369507929472269E+00,  1.856002649576129E+00,  4.939970947117228E+01,  2.907463066734064E+02,  2.459070818227924E+06,  5.370969875539265E-01,  3.237963180396733E+02,  3.173799288990428E+02,  1.499552076458341E+00,  1.629596223444414E+00,  6.702700040071526E+02,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  8.559579778432197E-02,  1.370747511233797E+00,  1.856295447720343E+00,  4.942672488868405E+01,  2.899383343990349E+02,  2.459069662118964E+06,  5.373610280009514E-01,  3.302881701131240E+02,  3.249387932379182E+02,  1.499060817866280E+00,  1.627374124498762E+00,  6.699406567298784E+02,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  8.475104216223690E-02,  1.371828522258541E+00,  1.856483974208473E+00,  4.945479419722859E+01,  2.889565717415993E+02,  2.459068211068177E+06,  5.374699249505652E-01,  3.369516405655672E+02,  3.327445683812561E+02,  1.498858327573984E+00,  1.625888132889426E+00,  6.698049198438621E+02,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  8.425157193692220E-02,  1.372676340503092E+00,  1.856562986114545E+00,  4.948347957849928E+01,  2.878494197104258E+02,  2.459066543237661E+06,  5.374116734284985E-01,  3.437394072752733E+02,  3.407349823078424E+02,  1.498966635854864E+00,  1.625256931206636E+00,  6.698775218322407E+02,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  8.413986271771996E-02,  1.373239514259160E+00,  1.856529633427769E+00,  4.951230660061876E+01,  2.866815266068820E+02,  2.459064765185923E+06,  5.371793919082065E-01,  3.505879800001277E+02,  3.488299478297653E+02,  1.499398716417668E+00,  1.625557918576176E+00,  6.701671832964079E+02,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  8.443030306545134E-02,  1.373498035447678E+00,  1.856383838093274E+00,  4.954076826599304E+01,  2.855269709795823E+02,  2.459063000173456E+06,  5.367723008269403E-01,  3.574244733943693E+02,  3.569387586146627E+02,  1.500156722143967E+00,  1.626815408840257E+00,  6.706754417942049E+02,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  8.510609974714710E-02,  1.373466939801795E+00,  1.856128643474909E+00,  4.956834511645528E+01,  2.844599384454838E+02,  2.459061372016434E+06,  5.361963190553521E-01,  4.175888121173861E+00,  4.969851935685338E+00,  1.501230841545893E+00,  1.628994743289992E+00,  6.713958809606016E+02,
