            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  2.002284789241606E-03,  3.892579051237361E-03,  9.790962687076153E+01,  1.677211921254364E+02,  2.119223857507601E+02,  2.458958173019306E+06,  2.673456592590670E+01,  3.761501811591132E+01,  3.775533851329031E+01,  3.900388740284161E-03,  3.908198429330960E-03,  1.346571330156319E+01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  2.441866548375858E-03,  3.890918351809507E-03,  9.790960755837968E+01,  1.677211000223094E+02,  1.932582481087826E+02,  2.458970937466602E+06,  2.673401102124196E+01,  3.493206554534208E+02,  3.492686458734990E+02,  3.900442712392755E-03,  3.909967072976003E-03,  1.346599280272444E+01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.429974876508650E-03,  3.890772518955891E-03,  9.790958061422691E+01,  1.677210833225932E+02,  1.890231140145435E+02,  2.458984243366634E+06,  2.673599215420677E+01,  2.865464272172844E+02,  2.862792734882656E+02,  3.900250028537339E-03,  3.909727538118787E-03,  1.346499497469952E+01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.417326713502746E-03,  3.890753482682491E-03,  9.790967840162760E+01,  1.677210171142325E+02,  1.710732263579215E+02,  2.458997034246154E+06,  2.673669685377444E+01,  2.375393470538602E+02,  2.373060001607150E+02,  3.900181495599313E-03,  3.909609508516135E-03,  1.346464007760101E+01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.267008607643168E-03,  3.891307140007862E-03,  9.790965356316840E+01,  1.677209978943237E+02,  1.674660293299832E+02,  2.458996899639832E+06,  2.673703294934895E+01,  1.741211883787217E+02,  1.741477214653953E+02,  3.900148810933337E-03,  3.908990481858810E-03,  1.346447082150026E+01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.194119337609012E-03,  3.890816718616941E-03,  9.790961718256118E+01,  1.677209541864620E+02,  1.572095226345896E+02,  2.459009981719811E+06,  2.674501876147600E+01,  1.173646359858999E+02,  1.175876468923548E+02,  3.899372407019721E-03,  3.907928095422502E-03,  1.346045045661177E+01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.625624575016717E-03,  3.893842205897678E-03,  9.790966782025252E+01,  1.677207973048733E+02,  1.494915424066772E+02,  2.459023154581691E+06,  2.673668715994294E+01,  5.811000539292384E+01,  5.826834121505345E+01,  3.900182438316455E-03,  3.906522670735232E-03,  1.346464495943066E+01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.497608698812756E-03,  3.894551451877915E-03,  9.790964126468491E+01,  1.677207808864071E+02,  1.447295196526130E+02,  2.459036441131703E+06,  2.673452507086461E+01,  3.558526275969380E+02,  3.558401929451412E+02,  3.900392713935090E-03,  3.906233975992265E-03,  1.346573387953427E+01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  7.017724424063966E-04,  3.897570361241617E-03,  9.790961927357733E+01,  1.677206901333218E+02,  1.534401675960070E+02,  2.459050229353690E+06,  2.673540132707773E+01,  2.801853709900737E+02,  2.801062088488807E+02,  3.900307489554698E-03,  3.903044617867778E-03,  1.346529253837647E+01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  5.701496012590031E-04,  3.898171727544843E-03,  9.790959129466867E+01,  1.677206785652529E+02,  1.645859741586453E+02,  2.459064110586599E+06,  2.673449605071350E+01,  2.020369148938012E+02,  2.020124173832712E+02,  3.900395536504733E-03,  3.902619345464622E-03,  1.346574849651569E+01,
