            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  4.416924355040808E-01,  9.053254164334192E-02,  1.530639543821932E+02,  3.370282512182938E+01,  2.383172636645325E+02,  2.459126271558802E+06,  4.664033261615231E-01,  2.822545025319795E+02,  2.331149475347551E+02,  1.621553197565598E-01,  2.337780978697777E-01,  7.718641351955670E+02,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  4.387986786133404E-01,  9.063697421671957E-02,  1.529704917030317E+02,  3.417485946327732E+01,  2.391048703244079E+02,  2.459127131032770E+06,  4.692220035003125E-01,  2.865231034292786E+02,  2.366979700242352E+02,  1.615052758478308E-01,  2.323735774789419E-01,  7.672274473798418E+02,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  4.362556472058966E-01,  9.060149074471946E-02,  1.528676175738837E+02,  3.459885520558190E+01,  2.399423637610387E+02,  2.459127912798640E+06,  4.726925218577795E-01,  2.907898742084323E+02,  2.404665674810644E+02,  1.607137886094442E-01,  2.308260864741689E-01,  7.615944474541831E+02,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  4.340172143328389E-01,  9.044466130154152E-02,  1.527581100795556E+02,  3.497094050673994E+01,  2.408181710125156E+02,  2.459128627131766E+06,  4.767479878575747E-01,  2.950797334303232E+02,  2.444688673427102E+02,  1.598010815734059E-01,  2.291575018452703E-01,  7.551159295244840E+02,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  4.320373779660299E-01,  9.018959339222246E-02,  1.526451968720525E+02,  3.528822002670999E+01,  2.417161151618729E+02,  2.459129282359783E+06,  4.812862231000070E-01,  2.994203299400701E+02,  2.487668269113235E+02,  1.587949451131807E-01,  2.274002968341389E-01,  7.479956473327001E+02,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  4.302760751959782E-01,  8.986319518880022E-02,  1.525325260981788E+02,  3.554906187981649E+01,  2.426152889788648E+02,  2.459129883944504E+06,  4.861634911175138E-01,  3.038413374672659E+02,  2.534386907622541E+02,  1.577311242804347E-01,  2.255990533720691E-01,  7.404916382603934E+02,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  4.287068134572120E-01,  8.949510052245367E-02,  1.524240988108734E+02,  3.575343137326627E+01,  2.434902313996283E+02,  2.459130433655594E+06,  4.911884169747950E-01,  3.083733194139306E+02,  2.585815875493879E+02,  1.566535408273258E-01,  2.238119811321979E-01,  7.329163057574159E+02,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  4.273267801010567E-01,  8.911611424353583E-02,  1.523241411183081E+02,  3.590327237141042E+01,  2.443116345420946E+02,  2.459130928897849E+06,  4.961173209237439E-01,  3.130460190745617E+02,  2.643139274233399E+02,  1.556142511068733E-01,  2.221123879702107E-01,  7.256348142203525E+02,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  4.261686472377113E-01,  8.875608339074438E-02,  1.522368941745580E+02,  3.600290777225152E+01,  2.450479699061458E+02,  2.459131362519244E+06,  5.006539605444903E-01,  3.178857301855282E+02,  2.707767875150699E+02,  1.546727674664229E-01,  2.205894515421015E-01,  7.190595268805604E+02,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  4.253120393430556E-01,  8.844124218121796E-02,  1.521663016752726E+02,  3.605940282012233E+01,  2.456683610916283E+02,  2.459131723459453E+06,  5.044572154700983E-01,  3.229115692871356E+02,  2.781328940199609E+02,  1.538943709210785E-01,  2.193474996609390E-01,  7.136383204758404E+02,
