            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  4.903287078670684E-02,  4.933736151004720E+00,  1.303372596509039E+00,  1.005027241814180E+02,  2.751369996316017E+02,  2.459981349923518E+06,  8.334089862739885E-02,  2.757580259507557E+02,  2.701420543038694E+02,  5.188124804152015E+00,  5.442513457299310E+00,  4.319607850756335E+03,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  4.900168076864122E-02,  4.933818930282237E+00,  1.303374894394163E+00,  1.005027343313008E+02,  2.751517621734748E+02,  2.459981544999067E+06,  8.334290128299707E-02,  2.766530149926050E+02,  2.710447740460352E+02,  5.188041693144085E+00,  5.442264456005933E+00,  4.319504054431618E+03,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  4.896995686735073E-02,  4.933904329214407E+00,  1.303377178911104E+00,  1.005027460507946E+02,  2.751659323664096E+02,  2.459981733637506E+06,  8.334490769097130E-02,  2.775485799314939E+02,  2.719495191886054E+02,  5.187958429748814E+00,  5.442012530283223E+00,  4.319400068625891E+03,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  4.893771203160414E-02,  4.933992286090037E+00,  1.303379451817439E+00,  1.005027593397180E+02,  2.751794927157106E+02,  2.459981915625026E+06,  8.334691770953596E-02,  2.784447388865191E+02,  2.728563090898336E+02,  5.187875019868304E+00,  5.441757753646572E+00,  4.319295900714650E+03,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  4.890495943784923E-02,  4.934082742180396E+00,  1.303381714848449E+00,  1.005027742022962E+02,  2.751924250460309E+02,  2.459982090741169E+06,  8.334893109149961E-02,  2.793415106285201E+02,  2.737651634063014E+02,  5.187791473777505E+00,  5.441500205374615E+00,  4.319191563534217E+03,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  4.887171222802698E-02,  4.934175641413829E+00,  1.303383969296058E+00,  1.005027906440360E+02,  2.752047108465636E+02,  2.459982258762766E+06,  8.335094752697517E-02,  2.802389142057437E+02,  2.746761017465018E+02,  5.187707804351169E+00,  5.441239967288509E+00,  4.319087073167248E+03,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  4.883798341433410E-02,  4.934270927465091E+00,  1.303386215463565E+00,  1.005028086661350E+02,  2.752163320469007E+02,  2.459982419472210E+06,  8.335296672965163E-02,  2.811369681690961E+02,  2.755891428960371E+02,  5.187624023483794E+00,  5.440977119502498E+00,  4.318982444471711E+03,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  4.880378613439207E-02,  4.934368539511603E+00,  1.303388452823441E+00,  1.005028282640625E+02,  2.752272717584860E+02,  2.459982572665017E+06,  8.335498851078663E-02,  2.820356898736758E+02,  2.765043040727945E+02,  5.187540139019907E+00,  5.440711738528210E+00,  4.318877687247403E+03,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  4.876913417058507E-02,  4.934468409396214E+00,  1.303390681045648E+00,  1.005028494349321E+02,  2.752375144427132E+02,  2.459982718151138E+06,  8.335701278283959E-02,  2.829350953716274E+02,  2.774216007465888E+02,  5.187456154604130E+00,  5.440443899812046E+00,  4.318772806048921E+03,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  4.873404240687552E-02,  4.934570462275665E+00,  1.303392901004505E+00,  1.005028721883607E+02,  2.752470453464171E+02,  2.459982855748626E+06,  8.335903948300410E-02,  2.838352000148309E+02,  2.783410471881423E+02,  5.187372072854392E+00,  5.440173683433119E+00,  4.318667804148577E+03,
