            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  1.438209395026193E-02,  7.252615027477066E-01,  3.369389207842426E+00,  7.663645447180768E+01,  1.025175102313456E+02,  2.458958347035863E+06,  1.562480485108589E+00,  3.448048212476029E+02,  3.443652330685150E+02,  7.358444872967913E-01,  7.464274718458760E-01,  2.304028776237681E+02,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.058973384553346E-02,  7.239743568791203E-01,  3.370167542154765E+00,  7.650519882965393E+01,  1.300223359695457E+02,  2.458975375022184E+06,  1.575699893186582E+00,  3.351117852324748E+02,  3.345948903440313E+02,  7.317231098611761E-01,  7.394718628432319E-01,  2.284699018871936E+02,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  6.480301843766453E-03,  7.221045658774138E-01,  3.373279534234645E+00,  7.638343527760594E+01,  1.706526313758407E+02,  2.459000545915460E+06,  1.591689126419764E+00,  3.122367272554731E+02,  3.116839338053251E+02,  7.268145435037575E-01,  7.315245211301011E-01,  2.261748189546028E+02,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  4.959267702224821E-03,  7.180002843821869E-01,  3.378455710621145E+00,  7.628299396060109E+01,  2.468056367013027E+02,  2.459047520342439E+06,  1.609044395754571E+00,  2.537639018149523E+02,  2.532192286366618E+02,  7.215787867539463E-01,  7.251572891257055E-01,  2.237352809840749E+02,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  8.327325786766353E-03,  7.105150523983889E-01,  3.385222884414289E+00,  7.621367294430254E+01,  3.067087780769613E+02,  2.459083796685854E+06,  1.626246061568329E+00,  2.114543168756263E+02,  2.109607662929469E+02,  7.164814266583399E-01,  7.224478009182910E-01,  2.213687144323172E+02,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  1.280461006508768E-02,  7.028330230418659E-01,  3.392947839307356E+00,  7.618223666750858E+01,  3.394351124228779E+02,  2.459103161490429E+06,  1.641799436817925E+00,  1.962313427910370E+02,  1.958274228251233E+02,  7.119492556465493E-01,  7.210654882512327E-01,  2.192716064623208E+02,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  1.670609679443978E-02,  6.965069741161026E-01,  3.400904447936425E+00,  7.619171720611452E+01,  4.394944029161369E+00,  2.459117920838376E+06,  1.654361742312759E+00,  1.886894546063344E+02,  1.884060879470945E+02,  7.083405804159614E-01,  7.201741867158200E-01,  2.176065794997945E+02,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.944812270892490E-02,  6.921998112243472E-01,  3.408354892220030E+00,  7.624126755880609E+01,  2.669782055528032E+01,  2.459131332125188E+06,  1.662847076630607E+00,  1.837313503212822E+02,  1.835897556314822E+02,  7.059288011733303E-01,  7.196577911223137E-01,  2.164961559360351E+02,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  2.072829073177436E-02,  6.902803449350096E-01,  3.414611140007513E+00,  7.632645711811840E+01,  4.798296944688568E+01,  2.458928434872799E+06,  1.666518786532349E+00,  1.797359296291581E+02,  1.797466002912282E+02,  7.048915417467039E-01,  7.195027385583981E-01,  2.160191669660557E+02,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.041656139669164E-02,  6.909057755094684E-01,  3.419087091203840E+00,  7.643967327519537E+01,  6.905608119564896E+01,  2.458941589517141E+06,  1.665051149175888E+00,  1.759201180999836E+02,  1.760824354345004E+02,  7.053056924834938E-01,  7.197056094575193E-01,  2.162095742092853E+02,
