            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.485145528920002E-05,  2.370931664934358E-03,  1.293147544789944E+02,  2.211361612564631E+02,  3.259709712660791E+02,  2.458959746827484E+06,  6.125502883502799E+01,  3.497809776752147E+02,  3.497806757417105E+02,  2.370966877242927E-03,  2.371002089551496E-03,  5.877068492932258E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.137324952039809E-05,  2.370934563922346E-03,  1.293139193026079E+02,  2.211435941910364E+02,  2.656216465337299E+02,  2.458970515249257E+06,  6.125523607931265E+01,  1.393602140870490E+00,  1.393633837765181E+00,  2.370961529459424E-03,  2.370988494996501E-03,  5.877048609099730E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.901540062517649E-05,  2.370929645242155E-03,  1.293125121912097E+02,  2.211512362794132E+02,  2.065863209255661E+02,  2.458981305121650E+06,  6.125472450614062E+01,  1.169220075990513E+01,  1.169264235414046E+01,  2.370974730276524E-03,  2.371019815310892E-03,  5.877097691687617E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.495424400965076E-05,  2.370917486812103E-03,  1.293113408773508E+02,  2.211595855565061E+02,  1.544472834809343E+02,  2.458992207575499E+06,  6.125465000515091E+01,  1.509464658317773E+01,  1.509539127220016E+01,  2.370976652742036E-03,  2.371035818671970E-03,  5.877104839709760E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.325994391951317E-05,  2.370907806313303E-03,  1.293106825349103E+02,  2.211675421779711E+02,  1.123472543229741E+02,  2.459003273920651E+06,  6.125518084336719E+01,  8.458075488548292E+00,  8.458467541021667E+00,  2.370962954778667E-03,  2.371018103244031E-03,  5.877053908640633E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.394364308783812E-05,  2.370907818328351E-03,  1.293096573884073E+02,  2.211748938473747E+02,  8.010039929898539E+01,  2.459014501120521E+06,  6.125511755610864E+01,  3.519681970562759E+02,  3.519678136821186E+02,  2.370964587858217E-03,  2.371021357388083E-03,  5.877059980666042E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.555771519061083E-05,  2.370917265113980E-03,  1.293082168495466E+02,  2.211827955636899E+02,  3.733893008400548E+01,  2.459025556668922E+06,  6.125460314728139E+01,  3.459929759507390E+02,  3.459922670641230E+02,  2.370977861890897E-03,  2.371038458667816E-03,  5.877109335512486E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.857487942627399E-05,  2.370928743417301E-03,  1.293072533184613E+02,  2.211911595244458E+02,  3.466544209560677E+02,  2.459036482867567E+06,  6.125479993193167E+01,  3.479409165414000E+02,  3.479404718394612E+02,  2.370972783950886E-03,  2.371016824484472E-03,  5.877090454952816E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.119432440013595E-05,  2.370934285462339E-03,  1.293065835094460E+02,  2.211988536106478E+02,  2.900511244985568E+02,  2.459047312441963E+06,  6.125526331105424E+01,  3.558075695260700E+02,  3.558074757456438E+02,  2.370960826766975E-03,  2.370987368071611E-03,  5.877045996389239E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.538004397352694E-05,  2.370932540497700E-03,  1.293053626807009E+02,  2.212062597348562E+02,  2.282917579584231E+02,  2.459058057845269E+06,  6.125494633490158E+01,  8.830190303756915E+00,  8.830460852373436E+00,  2.370969006105274E-03,  2.371005471712847E-03,  5.877076408356605E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  2.371656422325598E-05,  2.370922610483950E-03,  1.293039935396397E+02,  2.212144107353597E+02,  1.738983162947723E+02,  2.459068923495381E+06,  6.125456516708908E+01,  1.448698763113175E+01,  1.448766751533258E+01,  2.370978841955927E-03,  2.371035073427904E-03,  5.877112979546888E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  2.432016500908599E-05,  2.370910448252315E-03,  1.293032162377246E+02,  2.212226564132145E+02,  1.268593396005683E+02,  2.459079909210520E+06,  6.125498103899633E+01,  1.278939561949408E+01,  1.279001256511395E+01,  2.370968110587996E-03,  2.371025772923677E-03,  5.877073078690788E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  2.293020444995490E-05,  2.370906693364458E-03,  1.293024357636050E+02,  2.212301328314658E+02,  9.295064996342569E+01,  2.459091109280486E+06,  6.125525427300332E+01,  3.579613953867596E+02,  3.579613019125658E+02,  2.370961059986306E-03,  2.371015426608154E-03,  5.877046863531848E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  2.568568937008583E-05,  2.370912721316836E-03,  1.293010665465666E+02,  2.212377146582868E+02,  5.537802841787786E+01,  2.459102249537789E+06,  6.125476747797850E+01,  3.467972828529822E+02,  3.467966105765277E+02,  2.370973621408781E-03,  2.371034521500726E-03,  5.877093568748299E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  2.217581520874036E-05,  2.370924833579205E-03,  1.292998557487590E+02,  2.212460385579635E+02,  6.713751933888066E+00,  2.459113208719035E+06,  6.125462058426771E+01,  3.467249577231081E+02,  3.467243741911726E+02,  2.370977411936156E-03,  2.371029990293106E-03,  5.877107662510937E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.302983070847578E-05,  2.370932973229321E-03,  1.292991947984144E+02,  2.212540644834323E+02,  3.131517833063788E+02,  2.459124087942137E+06,  6.125514551162211E+01,  3.515503343203658E+02,  3.515501149186986E+02,  2.370963866487117E-03,  2.370994759744913E-03,  5.877057298503947E+00,
