            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.089986228159901E-03,  2.912822037549121E-03,  9.777784126285967E+01,  1.676264794125963E+02,  2.339185036158513E+02,  2.458961369357248E+06,  4.135720400395428E+01,  2.859971872565284E+02,  2.858770758726832E+02,  2.916000437867705E-03,  2.919178838186289E-03,  8.704650342551671E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.322353756577804E-03,  2.911966215002542E-03,  9.777779592110156E+01,  1.676265525373521E+02,  2.718544788139340E+02,  2.458970993600235E+06,  4.136100121579698E+01,  3.411559181340641E+02,  3.411068980037905E+02,  2.915821963128999E-03,  2.919677711255455E-03,  8.703851198420830E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.270075972648405E-03,  2.912726227663606E-03,  9.777776320032554E+01,  1.676265648888804E+02,  2.785636561719863E+02,  2.458979861098068E+06,  4.134806034740193E+01,  6.760002371977203E+01,  6.773466348851579E+01,  2.916430315733523E-03,  2.920134403803440E-03,  8.706575277662818E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.171574594999949E-03,  2.909449133517579E-03,  9.777758605456096E+01,  1.676265991839405E+02,  2.692625900974689E+02,  2.458988344038779E+06,  4.136187347670063E+01,  1.699956960210012E+02,  1.700388104877086E+02,  2.915780969395302E-03,  2.922112805273024E-03,  8.703667647037070E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.191343080352980E-03,  2.910224667180418E-03,  9.777755694238471E+01,  1.676266128160626E+02,  2.701359621234562E+02,  2.459005775322285E+06,  4.134411238367076E+01,  2.622905378479336E+02,  2.620417903790896E+02,  2.916615973411801E-03,  2.923007279643184E-03,  8.707406671576901E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.288110960824196E-03,  2.909699100718846E-03,  9.777751759782859E+01,  1.676266319222358E+02,  2.644129362085945E+02,  2.459014341647740E+06,  4.134929876744059E+01,  1.172346080083764E+00,  1.177726003905664E+00,  2.916372083649286E-03,  2.923045066579726E-03,  8.706314513934934E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.709302605218021E-03,  2.908689897192209E-03,  9.777739455367460E+01,  1.676267830531573E+02,  2.546257887852705E+02,  2.459022810850562E+06,  4.134462581490335E+01,  1.040706016323892E+02,  1.043715008416777E+02,  2.916591827027532E-03,  2.924493756862855E-03,  8.707298540122041E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  2.734905118852467E-03,  2.907729273895194E-03,  9.777734256757718E+01,  1.676267664281822E+02,  2.518709894127071E+02,  2.459040154453211E+06,  4.136352309247659E+01,  1.999871462934573E+02,  1.998803674194560E+02,  2.915703446175195E-03,  2.923677618455196E-03,  8.703320536675433E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.477034483279887E-03,  2.909012425846879E-03,  9.777730531424652E+01,  1.676268397675715E+02,  2.313145913723238E+02,  2.459048365260543E+06,  4.135219217903729E+01,  3.136334185219130E+02,  3.134275391460675E+02,  2.916236043086990E-03,  2.923459660327100E-03,  8.705705333380008E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  2.458719849707673E-03,  2.908837447395164E-03,  9.777725751340249E+01,  1.676268433977318E+02,  2.329764947841387E+02,  2.459057111230755E+06,  4.135706244432394E+01,  4.511101178597735E+01,  4.531105717720489E+01,  2.916007091913941E-03,  2.923176736432719E-03,  8.704680137392307E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  1.700458617106863E-03,  2.910896967878383E-03,  9.777708563536352E+01,  1.676269036984295E+02,  2.201853267745438E+02,  2.459065509183041E+06,  4.136029277017153E+01,  1.509988582938880E+02,  1.510931554631848E+02,  2.915855259079921E-03,  2.920813550281459E-03,  8.704000283567311E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  1.688514452505543E-03,  2.911490908606098E-03,  9.777705197530341E+01,  1.676269071020938E+02,  2.177027342247829E+02,  2.459082859891762E+06,  4.134837929742620E+01,  2.466272194195741E+02,  2.464497559287142E+02,  2.916415318020084E-03,  2.921339727434069E-03,  8.706508117536032E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  9.495375152533960E-04,  2.912964804942412E-03,  9.777692748634611E+01,  1.676270869606336E+02,  2.486896184108317E+02,  2.459092315505201E+06,  4.136288562440967E+01,  3.087304881419101E+02,  3.086455434676051E+02,  2.915733403193222E-03,  2.918502001444031E-03,  8.703454668732094E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.005982798700166E-03,  2.913735527210240E-03,  9.777689932548769E+01,  1.676270900713646E+02,  2.478946672905440E+02,  2.459101001488396E+06,  4.134297115170205E+01,  4.268709747880980E+01,  4.276532698723081E+01,  2.916669646704315E-03,  2.919603766198391E-03,  8.707647030955568E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  1.169168773883428E-03,  2.913058977785953E-03,  9.777682874135920E+01,  1.676270896028678E+02,  2.566043109007109E+02,  2.459109917482501E+06,  4.134724146837484E+01,  1.271228174472444E+02,  1.272295488497734E+02,  2.916468822062713E-03,  2.919878666339473E-03,  8.706747710735486E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.425712142455679E-03,  2.912459925746390E-03,  9.777681432295603E+01,  1.676271450519715E+02,  2.754085652558752E+02,  2.459127785360534E+06,  4.134406538611024E+01,  2.014306033153815E+02,  2.013710093659500E+02,  2.916618183705806E-03,  2.920776441665222E-03,  8.707416569657029E+00,
