            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  5.320435287411214E-04,  3.523251495266629E-03,  2.792369924473720E+01,  1.701713178078341E+02,  1.485651581437571E+02,  2.458946385567030E+06,  7.962243799115672E+01,  1.780702454693130E+02,  1.780722971441889E+02,  3.525127016283633E-03,  3.527002537300638E-03,  4.521338570918709E+00,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.607733219734848E-03,  3.522342638885431E-03,  2.792521638279669E+01,  1.701724079362792E+02,  1.400248246075547E+02,  2.458959833546306E+06,  7.952469988963571E+01,  3.398368060873970E+02,  3.397731819606204E+02,  3.528014745391311E-03,  3.533686851897190E-03,  4.526895423681039E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.442203053233304E-03,  3.515530648565539E-03,  2.792743872338824E+01,  1.701742809732544E+02,  1.525678777071963E+02,  2.458969027255496E+06,  7.977578826239817E+01,  1.205208337170582E+02,  1.206630693728751E+02,  3.520608080288169E-03,  3.525685512010799E-03,  4.512647356311787E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.373831572443419E-03,  3.514555454301229E-03,  2.792892298342331E+01,  1.701753165038367E+02,  1.908431329701325E+02,  2.458983055551474E+06,  7.981719095756243E+01,  2.355209821420320E+02,  2.353913338762747E+02,  3.519390504091508E-03,  3.524225553881787E-03,  4.510306560292336E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.280219268877871E-03,  3.522224014725770E-03,  2.793099115013245E+01,  1.701748844159848E+02,  1.987876477713339E+02,  2.458992192392125E+06,  7.956785363545242E+01,  2.081557711725354E+01,  2.086778750164604E+01,  3.526739013967754E-03,  3.531254013209739E-03,  4.524440255098168E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.705806847825632E-04,  3.525847849043415E-03,  2.793243003049997E+01,  1.701764585664007E+02,  1.309060563474552E+02,  2.459004896022240E+06,  7.956571759149863E+01,  2.419227055875209E+02,  2.418953527003643E+02,  3.526802133579811E-03,  3.527756418116207E-03,  4.524561719512034E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  4.556767231060792E-04,  3.518275565677526E-03,  2.793422356540755E+01,  1.701787505408053E+02,  1.098874145011988E+02,  2.459013666097855E+06,  7.980055898816403E+01,  5.617178463008915E+01,  5.621517534669648E+01,  3.519879492830546E-03,  3.521483419983567E-03,  4.511246594818903E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.294977412095065E-03,  3.515762682356267E-03,  2.793578432080164E+01,  1.701785194612673E+02,  1.409249241020604E+02,  2.459023091822838E+06,  7.978553272329421E+01,  1.784145861632721E+02,  1.784186851564949E+02,  3.520321419077286E-03,  3.524880155798305E-03,  4.512096212336179E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.653658041277915E-03,  3.521896760155665E-03,  2.793764203160525E+01,  1.701794901677652E+02,  1.434095140739526E+02,  2.459036673755269E+06,  7.953431429452876E+01,  3.291601505157365E+02,  3.290628349842891E+02,  3.527730419932045E-03,  3.533564079708426E-03,  4.526348195658798E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.108305836178075E-03,  3.521984004898922E-03,  2.793931379785366E+01,  1.701804218392220E+02,  1.954223595350004E+02,  2.459046359843251E+06,  7.959653460428449E+01,  7.037581329274498E+01,  7.049549454054065E+01,  3.525891771326816E-03,  3.529799537754709E-03,  4.522809966410549E+00,
