            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  2.812819738329781E-03,  2.517068028064214E-03,  2.807627026665745E+01,  1.695141471912048E+02,  9.006543003637702E+01,  2.458947999804136E+06,  1.314079420802328E+02,  8.176147808024621E+01,  8.208063626489624E+01,  2.524168057800056E-03,  2.531268087535897E-03,  2.739560442855101E+00,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  2.336884985507203E-03,  2.521932262563255E-03,  2.807609879455683E+01,  1.695109045343373E+02,  1.171265081435131E+02,  2.458959152138250E+06,  1.311217575279721E+02,  5.610198464429482E+01,  5.632461868210817E+01,  2.527839532813257E-03,  2.533746803063259E-03,  2.745539769959242E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.791713244322224E-03,  2.515937380277727E-03,  2.807612767613583E+01,  1.695094698806087E+02,  7.173784422061361E+01,  2.458969756954608E+06,  1.316985607556786E+02,  1.028625539973512E+02,  1.030626170597861E+02,  2.520453309854690E-03,  2.524969239431652E-03,  2.733515066029129E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.856115629964987E-03,  2.515766081947733E-03,  2.807599204228513E+01,  1.695087798393716E+02,  8.911888869286827E+01,  2.458980835993314E+06,  1.315013988439400E+02,  8.679180238947119E+01,  8.711863972738183E+01,  2.522971981658512E-03,  2.530177881369291E-03,  2.737613463923923E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.559527848065157E-03,  2.522033020951837E-03,  2.807592442947668E+01,  1.695069972061684E+02,  1.206310337196779E+02,  2.458992021620285E+06,  1.310700124100255E+02,  5.667201456914739E+01,  5.691750918949589E+01,  2.528504799399868E-03,  2.534976577847899E-03,  2.746623681348364E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  1.726820835912959E-03,  2.517323493689458E-03,  2.807594255170531E+01,  1.695067307227629E+02,  7.982252119602882E+01,  2.459002660805841E+06,  1.316026319642643E+02,  9.885912838238977E+01,  9.905458141830947E+01,  2.521677979766381E-03,  2.526032465843305E-03,  2.735507600621204E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.845612802343724E-03,  2.514287960101040E-03,  2.807579098277727E+01,  1.695070960232436E+02,  8.485599596701827E+01,  2.459013647234929E+06,  1.316194576705130E+02,  9.512994671634841E+01,  9.545461878536710E+01,  2.521463067687087E-03,  2.528638175273134E-03,  2.735157904245426E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.604759927252503E-03,  2.521722271302834E-03,  2.807562730538844E+01,  1.695049314924935E+02,  1.219447305485109E+02,  2.459024874653178E+06,  1.310853234017219E+02,  5.942711475340715E+01,  5.968452933072382E+01,  2.528307906421236E-03,  2.534893541539638E-03,  2.746302870968628E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.593787924622314E-03,  2.518675349264973E-03,  2.807556817592794E+01,  1.695027254625407E+02,  9.187990498168371E+01,  2.459035594965891E+06,  1.315229793644069E+02,  9.088686485022946E+01,  9.106947167492282E+01,  2.522695991673997E-03,  2.526716634083020E-03,  2.737164271519112E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.691224422473527E-03,  2.513546768774564E-03,  2.807543871917780E+01,  1.695018960715086E+02,  8.305053276205142E+01,  2.459046476941840E+06,  1.317082620794863E+02,  1.010278971940972E+02,  1.013303980182409E+02,  2.520329541188492E-03,  2.527112313602421E-03,  2.733313721676314E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  2.751789276339051E-03,  2.521137195388925E-03,  2.807520267289917E+01,  1.694997669780853E+02,  1.217147412983741E+02,  2.459057715870063E+06,  1.311019625556541E+02,  6.373258880205081E+01,  6.401578885984324E+01,  2.528093977285195E-03,  2.535050759181466E-03,  2.745954316642486E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  1.643908324893521E-03,  2.520255912309772E-03,  2.807511495936637E+01,  1.694982089916410E+02,  1.079705670560443E+02,  2.459068559645568E+06,  1.313893786978897E+02,  7.888019590757231E+01,  7.906511028886884E+01,  2.524405804026421E-03,  2.528555695743070E-03,  2.739947502360645E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  2.548982331665338E-03,  2.513464547397864E-03,  2.807486041097282E+01,  1.694988608670247E+02,  8.116453273553769E+01,  2.459079305806393E+06,  1.317429047732740E+02,  1.070007450173830E+02,  1.072798116480157E+02,  2.519887696614315E-03,  2.526310845830766E-03,  2.732594978223308E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  2.839289955151615E-03,  2.519995830199386E-03,  2.807453702788973E+01,  1.694982012021596E+02,  1.183816695272353E+02,  2.459090533714750E+06,  1.311737752760606E+02,  7.113360348184816E+01,  7.144183454561424E+01,  2.527171202008197E-03,  2.534346573817008E-03,  2.744451009680595E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.751348314755239E-03,  2.521130862740743E-03,  2.807450100672408E+01,  1.694962535075161E+02,  1.214178369070048E+02,  2.459101504643395E+06,  1.312997892683904E+02,  6.950441070272420E+01,  6.969254046624189E+01,  2.525553987460506E-03,  2.529977112180268E-03,  2.741817043316973E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  2.355147482763830E-03,  2.513334974177316E-03,  2.807432158568512E+01,  1.694954535955763E+02,  8.037281083511324E+01,  2.459112143056109E+06,  1.317915000457814E+02,  1.118835888372931E+02,  1.121337468297066E+02,  2.519268222389685E-03,  2.525201470602053E-03,  2.731587392775287E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  2.835537709883185E-03,  2.518740853693335E-03,  2.807404077852119E+01,  1.694937473142480E+02,  1.161984092278616E+02,  2.459123360390559E+06,  1.312725655217666E+02,  7.739954395658070E+01,  7.771689049370546E+01,  2.525903147319070E-03,  2.533065440944806E-03,  2.742385650566931E+00,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.905759876281173E-03,  2.522088637901768E-03,  2.807396037742772E+01,  1.694910381861245E+02,  1.303209805557984E+02,  2.459134414966837E+06,  1.311945576569285E+02,  6.468326778908592E+01,  6.488087858785387E+01,  2.526904310748394E-03,  2.531719983595021E-03,  2.744016264313294E+00,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  2.178089505664862E-03,  2.514262129561149E-03,  2.807368059908790E+01,  1.694907104381747E+02,  8.330481421881487E+01,  2.459145007963738E+06,  1.317536748097044E+02,  1.130494306312935E+02,  1.132788506561558E+02,  2.519750371401995E-03,  2.525238613242841E-03,  2.732371605725293E+00,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  2.784288992840030E-03,  2.517817841058077E-03,  2.807315635511176E+01,  1.694909581201508E+02,  1.137318649788197E+02,  2.459156184974925E+06,  1.313548831217792E+02,  8.393906410120661E+01,  8.425645165520626E+01,  2.524847746848224E-03,  2.531877652638371E-03,  2.740667049783325E+00,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  2.081745906172634E-03,  2.522530468910002E-03,  2.807293289849699E+01,  1.694894337270769E+02,  1.354185265288785E+02,  2.459167296561947E+06,  1.311254022156055E+02,  6.365325994835916E+01,  6.386727759960025E+01,  2.527792690996136E-03,  2.533054913082269E-03,  2.745463456486203E+00,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  2.003366740603059E-03,  2.515121718030828E-03,  2.807269170007606E+01,  1.694887929898941E+02,  8.879677780392944E+01,  2.459177892435659E+06,  1.317207264678432E+02,  1.116417908130913E+02,  1.118549795059367E+02,  2.520170543879082E-03,  2.525219369727337E-03,  2.733055075336882E+00,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  2.776362324774772E-03,  2.516063085844091E-03,  2.807226032545649E+01,  1.694881778822833E+02,  1.092296845102917E+02,  2.459188994375849E+06,  1.314938893696521E+02,  9.252227627015762E+01,  9.284006556688186E+01,  2.523068036884540E-03,  2.530072987924990E-03,  2.737769806078042E+00,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  2.281201890387535E-03,  2.522361037076660E-03,  2.807223392370456E+01,  1.694854896236185E+02,  1.384974484886554E+02,  2.459200162804827E+06,  1.310992999007193E+02,  6.465754194663486E+01,  6.489408015060866E+01,  2.528128207923719E-03,  2.533895378770777E-03,  2.746010087564356E+00,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  1.776499070941535E-03,  2.516709381433687E-03,  2.807217665591403E+01,  1.694838507811244E+02,  9.386025412848730E+01,  2.459210773307256E+06,  1.316409771073122E+02,  1.106696142683844E+02,  1.108599328934300E+02,  2.521188270053105E-03,  2.525667158672524E-03,  2.734710786190323E+00,
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  2.759063623705095E-03,  2.514960064506940E-03,  2.807159062745692E+01,  1.694838520410795E+02,  1.050609635199808E+02,  2.459221806132467E+06,  1.315838293108678E+02,  1.007757827469825E+02,  1.010861713361522E+02,  2.521918197266979E-03,  2.528876330027019E-03,  2.735898490607818E+00,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  2.436744110513804E-03,  2.522475741107451E-03,  2.807115559397991E+01,  1.694828100886480E+02,  1.436806725772765E+02,  2.459233045161437E+06,  1.310597039608074E+02,  6.354279847004149E+01,  6.379312315285584E+01,  2.528637383358976E-03,  2.534799025610501E-03,  2.746839715948510E+00,
2459244.488000000, A.D. 2021-Jan-29 23:42:43.2000,  1.570564251941979E-03,  2.518572835983347E-03,  2.807081128171959E+01,  1.694819265028184E+02,  1.042184776358108E+02,  2.459243694355020E+06,  1.315355987917637E+02,  1.043925676667275E+02,  1.045668073855374E+02,  2.522534638711191E-03,  2.526496441439036E-03,  2.736901670018033E+00,
2459255.446000000, A.D. 2021-Feb-09 22:42:14.4000,  2.821630681701463E-03,  2.513532299755447E-03,  2.807014738738877E+01,  1.694822476398823E+02,  1.034017586222133E+02,  2.459254637078726E+06,  1.316835670655192E+02,  1.065216388191334E+02,  1.068313120234420E+02,  2.520644627975408E-03,  2.527756956195369E-03,  2.733826308189859E+00,
2459266.404000000, A.D. 2021-Feb-20 21:41:45.6000,  2.586881404422230E-03,  2.521490073155559E-03,  2.806984157599092E+01,  1.694808803289132E+02,  1.427462981165830E+02,  2.459265881159257E+06,  1.311069559330167E+02,  6.854805828380717E+01,  6.882428301273632E+01,  2.528029786399822E-03,  2.534569499644085E-03,  2.745849733433869E+00,
2459277.362000000, A.D. 2021-Mar-03 20:41:16.8000,  1.520426113917895E-03,  2.519807437096307E-03,  2.806998356078362E+01,  1.694784819431092E+02,  1.142564530973751E+02,  2.459276613089231E+06,  1.314488409832205E+02,  9.844345258827559E+01,  9.861574383507093E+01,  2.523644452023407E-03,  2.527481466950508E-03,  2.738708057882033E+00,
2459288.320000000, A.D. 2021-Mar-14 19:40:48.0000,  2.680926921850482E-03,  2.513039535334745E-03,  2.806962370895215E+01,  1.694777815853550E+02,  1.004201701722511E+02,  2.459287457797158E+06,  1.317501807176296E+02,  1.135953802080454E+02,  1.138765291014956E+02,  2.519794921377006E-03,  2.526550307419267E-03,  2.732444069823034E+00,
2459299.278000000, A.D. 2021-Mar-25 18:40:19.2000,  2.551726497223409E-03,  2.521007401008539E-03,  2.806908134440079E+01,  1.694769304993065E+02,  1.406012842882100E+02,  2.459298707898758E+06,  1.311515439094874E+02,  7.476965800963423E+01,  7.505202974568712E+01,  2.527456779443231E-03,  2.533906157877923E-03,  2.744916218816680E+00,
2459310.236000000, A.D. 2021-Apr-05 17:39:50.4000,  1.544677861196243E-03,  2.521474561592275E-03,  2.806883882516799E+01,  1.694755964426195E+02,  1.335487542462924E+02,  2.459309602168273E+06,  1.313137130983003E+02,  8.323079754640753E+01,  8.340661041313109E+01,  2.525375453145957E-03,  2.529276344699640E-03,  2.741526315157253E+00,
2459321.194000000, A.D. 2021-Apr-16 16:39:21.6000,  2.458599958090194E-03,  2.513345249764048E-03,  2.806809497795050E+01,  1.694760088029370E+02,  1.011499060071511E+02,  2.459320306440733E+06,  1.317701929624221E+02,  1.169538558641487E+02,  1.172046361767648E+02,  2.519539790186607E-03,  2.525734330609167E-03,  2.732029087205358E+00,
2459332.152000000, A.D. 2021-Apr-27 15:38:52.8000,  2.682937396809240E-03,  2.519633915944884E-03,  2.806727257560432E+01,  1.694760082786194E+02,  1.373234798133714E+02,  2.459331526216402E+06,  1.312328980137899E+02,  8.212339517187509E+01,  8.242807517950426E+01,  2.526412121505423E-03,  2.533190327065962E-03,  2.743214586042071E+00,
2459343.110000000, A.D. 2021-May-08 14:38:24.0000,  1.765737694002088E-03,  2.521953420188178E-03,  2.806719688237042E+01,  1.694741675888487E+02,  1.435894163140750E+02,  2.459342521244225E+06,  1.312327200658928E+02,  7.726402181988942E+01,  7.746147786403409E+01,  2.526414405334347E-03,  2.530875390480515E-03,  2.743218305764307E+00,
2459354.068000000, A.D. 2021-May-19 13:37:55.2000,  2.314320424218000E-03,  2.513507593858606E-03,  2.806702197231068E+01,  1.694730610793282E+02,  9.900035446823118E+01,  2.459353133141242E+06,  1.317860130408910E+02,  1.232013085499749E+02,  1.234228649132380E+02,  2.519338149593722E-03,  2.525168705328839E-03,  2.731701124369686E+00,
