            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  9.193235847693765E-03,  4.444857084383156E-03,  2.606538702567386E+00,  3.318522062810288E+02,  1.720588611702171E+02,  2.458959187204346E+06,  1.013534920001448E+02,  3.981121117501340E+01,  4.049169293483580E+01,  4.486098849139361E-03,  4.527340613895567E-03,  3.551924979550636E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  9.301136505188471E-03,  4.444779177253293E-03,  2.604798557489120E+00,  3.318047898377022E+02,  1.633000794735524E+02,  2.458969753785449E+06,  1.013396004112439E+02,  7.947198929905370E+01,  8.052205031527387E+01,  4.486508808109247E-03,  4.528238438965202E-03,  3.552411875901348E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  9.025946934073294E-03,  4.445348318553945E-03,  2.603406681505310E+00,  3.317549779913828E+02,  1.555919219504615E+02,  2.458980330638405E+06,  1.013623581128459E+02,  1.181237992452936E+02,  1.190311137901475E+02,  4.485837247504812E-03,  4.526326176455680E-03,  3.551614294521591E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  9.263378884759673E-03,  4.444397722585825E-03,  2.602101044722447E+00,  3.317093956714695E+02,  1.475438649392164E+02,  2.458990904317114E+06,  1.013584415843104E+02,  1.570734423205039E+02,  1.574825839119273E+02,  4.485952803059717E-03,  4.527507883533609E-03,  3.551751530241813E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  9.319420306708074E-03,  4.443893990404498E-03,  2.600668258425863E+00,  3.316574620064571E+02,  1.376224280128812E+02,  2.459005010553903E+06,  1.013670747032076E+02,  1.979592670432200E+02,  1.976335939704294E+02,  4.485698096333228E-03,  4.527502202261957E-03,  3.551449038596044E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  9.142778762890536E-03,  4.444938104790496E-03,  2.599401517421560E+00,  3.316155439520503E+02,  1.295398437292372E+02,  2.459015584091580E+06,  1.013584629365820E+02,  2.369415435703506E+02,  2.360689386233323E+02,  4.485952173049598E-03,  4.526966241308698E-03,  3.551750782026409E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  9.497226976637581E-03,  4.443842049575028E-03,  2.598043562923817E+00,  3.315633975524067E+02,  1.219223087896863E+02,  2.459026161773161E+06,  1.013415627238242E+02,  2.755041248964714E+02,  2.744196705809415E+02,  4.486450892016043E-03,  4.529059734457059E-03,  3.552343089291717E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  9.433438317214798E-03,  4.443768922024674E-03,  2.596823376696036E+00,  3.315108986929178E+02,  1.131760016800852E+02,  2.459036728478121E+06,  1.013538543169869E+02,  3.151531369918484E+02,  3.143844038630469E+02,  4.486088157948267E-03,  4.528407393871861E-03,  3.551912282231420E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  9.648207957359664E-03,  4.443548716543287E-03,  2.595447281854595E+00,  3.314551207355032E+02,  1.061562511580969E+02,  2.459047312063198E+06,  1.013284252715383E+02,  3.531032633138698E+02,  3.529688942612297E+02,  4.486838669093826E-03,  4.530128621644366E-03,  3.552803658354285E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  9.550198000992272E-03,  4.443785298037209E-03,  2.594258882011334E+00,  3.314006883652100E+02,  9.980556581396914E+01,  2.459057902207869E+06,  1.013353745742375E+02,  3.037954793060919E+01,  3.093874797051371E+01,  4.486633536670302E-03,  4.529481775303395E-03,  3.552560016801110E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  9.691923064958752E-03,  4.441979879151483E-03,  2.593017515981626E+00,  3.313460744846715E+02,  8.963522192380981E+01,  2.459068455247101E+06,  1.013753988330558E+02,  7.144460623308629E+01,  7.250149939971905E+01,  4.485452540081477E-03,  4.528925201011470E-03,  3.551157422254340E+00,
