            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  2.394865465686242E-01,  5.969849984294786E-03,  1.519343798552998E+00,  1.110431851827238E+02,  2.474729356759590E+02,  2.457523768077660E+06,  6.956450678931549E-02,  9.911926035439731E+01,  1.241712074731860E+02,  7.849762495797150E-03,  9.729675007299514E-03,  5.175052862666064E+03,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  2.337595935523127E-01,  6.080428482910578E-03,  1.515516707684380E+00,  1.110125098336585E+02,  2.500525756942710E+02,  2.457535766123888E+06,  6.844138407290168E-02,  9.744779234333519E+01,  1.222467256603615E+02,  7.935405692189507E-03,  9.790382901468435E-03,  5.259975450182874E+03,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  2.278861178781816E-01,  6.192372411691746E-03,  1.511413280573537E+00,  1.109777223938073E+02,  2.526454249529706E+02,  2.457547920166312E+06,  6.736106210810998E-02,  9.582904825114656E+01,  1.203143309441157E+02,  8.020024707591982E-03,  9.847677003492220E-03,  5.344333784734928E+03,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.221689458070699E-01,  6.303542722538868E-03,  1.509603670928253E+00,  1.109616446961455E+02,  2.552549071781078E+02,  2.457561111532347E+06,  6.631676788068835E-02,  9.419530704264491E+01,  1.183477021898861E+02,  8.103999819188709E-03,  9.904456915838552E-03,  5.428491337932544E+03,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.161650766331533E-01,  6.422644595730885E-03,  1.509118534883166E+00,  1.109570256094499E+02,  2.581004957465204E+02,  2.457576572392448E+06,  6.522867606960181E-02,  9.235608273188663E+01,  1.161347182592566E+02,  8.193873995998247E-03,  9.965103396265610E-03,  5.519045022711552E+03,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.096600826588353E-01,  6.546911017030617E-03,  1.505982506801145E+00,  1.109259417889496E+02,  2.610444346863477E+02,  2.457592411736397E+06,  6.417098477722355E-02,  9.054527643633054E+01,  1.138512538662133E+02,  8.283664880619362E-03,  1.002041874420810E-02,  5.610012083339200E+03,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.029845029880434E-01,  6.668079435941006E-03,  1.500396231715347E+00,  1.108678516495020E+02,  2.638726417884152E+02,  2.457607271013793E+06,  6.322247407156720E-02,  8.896027917162000E+01,  1.117118224640625E+02,  8.366310894756635E-03,  1.006454235357226E-02,  5.694177668410820E+03,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.963383588320870E-01,  6.782068197522161E-03,  1.493268037531310E+00,  1.107898692622127E+02,  2.664814944114723E+02,  2.457620530174205E+06,  6.240783499743560E-02,  8.767039091697056E+01,  1.098126235891969E+02,  8.438959694114789E-03,  1.009585119070742E-02,  5.768506470618517E+03,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.898256390371689E-01,  6.886404785712973E-03,  1.485148890952770E+00,  1.106963658673340E+02,  2.687937176057293E+02,  2.457631518267408E+06,  6.173783670974670E-02,  8.672732088985552E+01,  1.082261685039412E+02,  8.499904610075543E-03,  1.011340443443811E-02,  5.831108104621455E+03,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.835460264629465E-01,  6.978608307836003E-03,  1.476495713916302E+00,  1.105914952191331E+02,  2.707192889243061E+02,  2.457639332943344E+06,  6.122331079785407E-02,  8.619697619735376E+01,  1.070378760747097E+02,  8.547460768184125E-03,  1.011631322853225E-02,  5.880113233154622E+03,
