            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.404602518088169E-01,  6.597729245167502E-02,  2.908491077299304E+01,  4.374533347559234E+01,  3.170635825361319E+01,  2.459043118014469E+06,  1.432074636803959E+00,  2.403673282702524E+02,  2.276025262984517E+02,  7.675886146105257E-02,  8.754043047043011E-02,  2.513835457650671E+02,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.407692289655054E-01,  6.582088920025851E-02,  2.908056095187154E+01,  4.361949960487091E+01,  3.269943420741038E+01,  2.459043569442209E+06,  1.436407138107316E+00,  2.550971151043300E+02,  2.403481862606878E+02,  7.660443668819221E-02,  8.738798417612592E-02,  2.506253209478996E+02,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.411450145248521E-01,  6.564271567887614E-02,  2.908921479958426E+01,  4.351812405558962E+01,  3.371914737308035E+01,  2.459044011896007E+06,  1.441313290944868E+00,  2.698950081896234E+02,  2.539350277286337E+02,  7.643049966410843E-02,  8.721828364934071E-02,  2.497722058498456E+02,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.414792356684390E-01,  6.548418196995680E-02,  2.910437934715923E+01,  4.345077979068704E+01,  3.461211442641486E+01,  2.459044396815172E+06,  1.445706171515998E+00,  2.849059515400841E+02,  2.687134168573771E+02,  7.627559482611045E-02,  8.706700768226409E-02,  2.490132553162559E+02,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  1.418487121960565E-01,  6.537412632231937E-02,  2.911756257393175E+01,  4.341909217186173E+01,  3.522093866548964E+01,  2.459044658532218E+06,  1.448422893766257E+00,  3.002575784475374E+02,  2.850290006169445E+02,  7.618018786595937E-02,  8.698624940959937E-02,  2.485461956928278E+02,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  1.425050402198917E-01,  6.531969293496308E-02,  2.912049630762835E+01,  4.341445185344380E+01,  3.546220053293677E+01,  2.459044753962656E+06,  1.448570384481924E+00,  3.159866915327738E+02,  3.030958095058643E+02,  7.617501676244644E-02,  8.703034058992980E-02,  2.485208891860319E+02,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.437009602244117E-01,  6.530666958326094E-02,  2.910817708216089E+01,  4.341876182326348E+01,  3.539181654878309E+01,  2.459044701917910E+06,  1.445973453936610E+00,  3.319858290046397E+02,  3.228467800391451E+02,  7.626619504370336E-02,  8.722572050414577E-02,  2.489672262100754E+02,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.454032637344455E-01,  6.531126915091534E-02,  2.908152197108014E+01,  4.340966273695297E+01,  3.518124840153161E+01,  2.459044579511890E+06,  1.441511461062449E+00,  3.480448075582274E+02,  3.438587534273753E+02,  7.642349470735720E-02,  8.753572026379906E-02,  2.497378687053007E+02,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.471673561942494E-01,  6.531357583625264E-02,  2.904791887131948E+01,  4.336943097897088E+01,  3.497802939779888E+01,  2.459044455348855E+06,  1.436974199627898E+00,  4.007219746234590E+00,  5.447446459774516E+00,  7.658428216911579E-02,  8.785498850197897E-02,  2.505264187020347E+02,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.484130079448980E-01,  6.529968070508393E-02,  2.901840620989365E+01,  4.329343989678908E+01,  3.477585541366329E+01,  2.459044323328892E+06,  1.434284752471620E+00,  1.990596635479602E+01,  2.688937952400470E+01,  7.667998843840806E-02,  8.806029617173218E-02,  2.509961842511627E+02,
