            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  2.107603264803900E-03,  1.162572825730250E-04,  1.128958210779813E+02,  2.274021405170215E+02,  1.880822613745416E+02,  2.458951802565372E+06,  5.658333533208636E+01,  1.800330030076243E+02,  1.800328642587117E+02,  1.165028243058910E-04,  1.167483660387570E-04,  6.362297271575947E+00,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.963633472268291E-03,  1.162671167172538E-04,  1.128958149046735E+02,  2.274021447261537E+02,  8.994665558824752E+01,  2.458956473551474E+06,  5.658840069067190E+01,  1.757889539461698E+02,  1.758054366108823E+02,  1.164958719107188E-04,  1.167246271041838E-04,  6.361727767636713E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.819748404368280E-03,  1.162923787694728E-04,  1.128958155770712E+02,  2.274021436464999E+02,  3.415499175942351E+02,  2.458973687296122E+06,  5.658219656990970E+01,  1.818059077658193E+02,  1.817993511666310E+02,  1.165043874426234E-04,  1.167163961157740E-04,  6.362425317921418E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.071318066303888E-03,  1.162584526251701E-04,  1.128958121514012E+02,  2.274021511093175E+02,  2.374274068910271E+02,  2.458984614287111E+06,  5.658556732474068E+01,  1.835499547594592E+02,  1.835352958811464E+02,  1.164997606841954E-04,  1.167410687432207E-04,  6.362046313576476E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.075555883662019E-03,  1.162571288549571E-04,  1.128958087151408E+02,  2.274021485205035E+02,  1.420217862923673E+02,  2.458989333535009E+06,  5.658617334965914E+01,  1.765751729147176E+02,  1.765893445842530E+02,  1.164989288922597E-04,  1.167407289295624E-04,  6.361978177521850E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  1.836608066572855E-03,  1.162873586133318E-04,  1.128958097761948E+02,  2.274021549362327E+02,  3.809728725462303E+01,  2.459000264120438E+06,  5.658442698157528E+01,  1.781209612102076E+02,  1.781278462891705E+02,  1.165013258882246E-04,  1.167152931631174E-04,  6.362174527581968E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  1.944234376210790E-03,  1.162728460399725E-04,  1.128958031912365E+02,  2.274021559110372E+02,  2.898488740253469E+02,  2.459017480506856E+06,  5.658586793949581E+01,  1.839892698301635E+02,  1.839738076995286E+02,  1.164993480773106E-04,  1.167258501146487E-04,  6.362012514943278E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.101021836986523E-03,  1.162593606336596E-04,  1.128958055914218E+02,  2.274021572638309E+02,  1.911402981438615E+02,  2.459028503562533E+06,  5.658237801767075E+01,  1.803191203411072E+02,  1.803177829032257E+02,  1.165041383724795E-04,  1.167489161112994E-04,  6.362404914964364E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.977616738746820E-03,  1.162643055634891E-04,  1.128957999269750E+02,  2.274021633287276E+02,  9.326254747779741E+01,  2.459033179099316E+06,  5.658926376855609E+01,  1.758172223257936E+02,  1.758337108413703E+02,  1.164946874072808E-04,  1.167250692510725E-04,  6.361630740989328E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.816767739328953E-03,  1.162926539819613E-04,  1.128957994939821E+02,  2.274021610428221E+02,  3.452239311948889E+02,  2.459050399126127E+06,  5.658224915240300E+01,  1.814758673403581E+02,  1.814705174634545E+02,  1.165043152634245E-04,  1.167159765448877E-04,  6.362419405251074E+00,
