            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  9.857130544276938E-03,  9.896744941529523E-01,  5.145791642625333E-03,  1.549359253453991E+02,  2.891602016988116E+02,  2.458833258063770E+06,  9.869644433485425E-01,  1.246752594735176E+02,  1.255976768910382E+02,  9.995269618989143E-01,  1.009379429644876E+00,  3.647547816196935E+02,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.235429794528758E-02,  9.841009104551083E-01,  5.435927595219108E-03,  1.598956721102392E+02,  2.741609145999146E+02,  2.458823790110363E+06,  9.915978903021013E-01,  1.455148977705156E+02,  1.463063497075482E+02,  9.964108671842248E-01,  1.008720823913341E+00,  3.630503891958886E+02,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.547455882594464E-02,  9.780341183526913E-01,  5.693263248160980E-03,  1.651386396426859E+02,  2.664003832277924E+02,  2.458822054435621E+06,  9.960994132242479E-01,  1.588196487209437E+02,  1.594489624131336E+02,  9.934066479647056E-01,  1.008779177576720E+00,  3.614097099352017E+02,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.863295188712444E-02,  9.721362050540988E-01,  5.912764441561715E-03,  1.706197140615305E+02,  2.627313078983971E+02,  2.458824729289517E+06,  1.000345004374201E+00,  1.677825762420145E+02,  1.682243572465218E+02,  9.905938934096808E-01,  1.009051581765263E+00,  3.598758412605957E+02,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.151493298493226E-02,  9.667858742505707E-01,  6.088475527765739E-03,  1.762568244652547E+02,  2.612722768530233E+02,  2.458829776812905E+06,  1.004220623236896E+00,  1.743680358008316E+02,  1.746036746155681E+02,  9.880435653451654E-01,  1.009301256439760E+00,  3.584869615997477E+02,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.393412357932562E-02,  9.622221547285337E-01,  6.215947220811011E-03,  1.819838118628844E+02,  2.610657023562493E+02,  2.458836128366916E+06,  1.007625022936777E+00,  1.796007296252195E+02,  1.796192860552706E+02,  9.858168162348765E-01,  1.009411477741219E+00,  3.572757641039527E+02,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.577142156754045E-02,  9.586054286478990E-01,  6.294034602487101E-03,  1.878433471582277E+02,  2.615156666503507E+02,  2.459199469139518E+06,  1.010473082214056E+00,  1.840350660109096E+02,  1.838337370700545E+02,  9.839635685808987E-01,  1.009321708513898E+00,  3.562687679034468E+02,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  2.694856362427569E-02,  9.560474040335355E-01,  6.321974359344854E-03,  1.939172056585791E+02,  2.622130252370479E+02,  2.459206130210470E+06,  1.012693061733957E+00,  1.879999464813728E+02,  1.875840662458437E+02,  9.825250426580501E-01,  1.009002681282565E+00,  3.554877717672908E+02,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.741658010267230E-02,  9.546255069404168E-01,  6.298433550030579E-03,  2.002554310303584E+02,  2.628900186408774E+02,  2.459213168941875E+06,  1.014224315731485E+00,  1.917148893642270E+02,  1.910977397004544E+02,  9.815358635675626E-01,  1.008446220194708E+00,  3.549510639964874E+02,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  2.715215477745353E-02,  9.543869696578690E-01,  6.222452702355073E-03,  2.068873903281473E+02,  2.633476625744050E+02,  2.459220414361853E+06,  1.015018381963542E+00,  1.953514709375233E+02,  1.945539208656461E+02,  9.810238819407012E-01,  1.007660794223534E+00,  3.546733797111968E+02,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  2.615696011125746E-02,  9.553493041483152E-01,  6.093936537732408E-03,  2.138440178781570E+02,  2.633924362741783E+02,  2.459227701100698E+06,  1.015040654207280E+00,  1.990743374291064E+02,  1.981242520920882E+02,  9.810095313280259E-01,  1.006669758507737E+00,  3.546655973904320E+02,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  2.445893951616121E-02,  9.574982481588946E-01,  5.913790636770944E-03,  2.211715757249663E+02,  2.627832129810513E+02,  2.459234829404428E+06,  1.014272441417287E+00,  2.030804861158057E+02,  2.020118784976656E+02,  9.815048150654000E-01,  1.005511381971905E+00,  3.549342221079735E+02,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  2.211589920580266E-02,  9.607827492995444E-01,  5.684135042624208E-03,  2.289367394581015E+02,  2.611701673749740E+02,  2.459241508241613E+06,  1.012713407539742E+00,  2.076552519916637E+02,  2.065071753321592E+02,  9.825118830741152E-01,  1.004241016848686E+00,  3.554806298798531E+02,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.922346947603802E-02,  9.651049387979275E-01,  5.408607606393772E-03,  2.372335543953792E+02,  2.579824545601283E+02,  2.459247248421690E+06,  1.010384249278097E+00,  2.132776355559392E+02,  2.120928466415118E+02,  9.840212410897902E-01,  1.002937543381653E+00,  3.563000910368646E+02,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  1.593429082699160E-02,  9.702983852301319E-01,  5.092824376468744E-03,  2.461944456560367E+02,  2.521837393338459E+02,  2.459251125855814E+06,  1.007329290431075E+00,  2.208537210382046E+02,  2.196771418881629E+02,  9.860097513666577E-01,  1.001721117503183E+00,  3.573806533968075E+02,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.251051303179382E-02,  9.760728620131557E-01,  4.745247578788563E-03,  2.560006934177783E+02,  2.417101838609379E+02,  2.459251221304061E+06,  1.003618460599458E+00,  2.322681697396108E+02,  2.311451830987248E+02,  9.884387377225633E-01,  1.000804613431971E+00,  3.587020507623714E+02,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  9.476366674597191E-03,  9.818588479417856E-01,  4.378310695112020E-03,  2.668998018892863E+02,  2.224243176197376E+02,  2.459243565884952E+06,  9.993484729236702E-01,  2.514129086015202E+02,  2.503875647266491E+02,  9.912523183777779E-01,  1.000645788813770E+00,  3.602347026626183E+02,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  7.908104029494288E-03,  9.865127735996272E-01,  4.010216325043392E-03,  2.792144108380965E+02,  1.898552127140184E+02,  2.459223845813671E+06,  9.946426114850236E-01,  2.824379544870046E+02,  2.815511687054241E+02,  9.943764056600617E-01,  1.002240037720496E+00,  3.619390480994093E+02,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  8.855635867032847E-03,  9.888835533405043E-01,  3.667157818075634E-03,  2.933212799723551E+02,  1.530964896519505E+02,  2.459201411231863E+06,  9.896483844986833E-01,  3.158743180176150E+02,  3.151621535310771E+02,  9.977189894083285E-01,  1.006554425476153E+00,  3.637655612223949E+02,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  1.163100235993717E-02,  9.895270113113196E-01,  3.385217955613268E-03,  3.095359617583521E+02,  1.256373161575715E+02,  2.459190210668385E+06,  9.845334321282229E-01,  3.379182261372405E+02,  3.374103498248459E+02,  1.001171641030851E+00,  1.012816270750383E+00,  3.656554345968768E+02,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  1.500263846084774E-02,  9.895409869723086E-01,  3.208613720405848E-03,  3.278357280725406E+02,  1.053229286059427E+02,  2.459188186248303E+06,  9.794791525996682E-01,  3.507475967172902E+02,  3.504659732449784E+02,  1.004612830054749E+00,  1.019684673137190E+00,  3.675422790209593E+02,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  1.829908298926563E-02,  9.894692669034355E-01,  3.179475684794297E-03,  3.475153594046920E+02,  8.834428032238780E+01,  2.459190850675382E+06,  9.746722649438744E-01,  3.588765192742596E+02,  3.588344432309274E+02,  1.007913153342421E+00,  1.026357039781406E+00,  3.693549236478277E+02,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  2.117791073401227E-02,  9.895324898762314E-01,  3.320090762555673E-03,  7.211911093293948E+00,  7.373118217290391E+01,  2.459195876726218E+06,  9.702950869529254E-01,  4.637305870338252E+00,  4.838819248600033E+00,  1.010942132107251E+00,  1.032351774338270E+00,  3.710211510299708E+02,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  2.343427572543781E-02,  9.898236584745592E-01,  3.621815887467400E-03,  2.558132050292847E+01,  6.170665390576995E+01,  2.459202147462899E+06,  9.665153330560825E-01,  9.149553259048169E+00,  9.589256072471889E+00,  1.013576079797236E+00,  1.037328501119912E+00,  3.724721043604084E+02,
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  2.493698639438864E-02,  9.903775360186012E-01,  4.052882510961316E-03,  4.195588462915003E+01,  5.234235966415351E+01,  2.459209071637590E+06,  9.634765085933646E-01,  1.300728203927191E+01,  1.367055344363958E+01,  1.015706187394351E+00,  1.041034838770100E+00,  3.736468889372143E+02,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  2.560897819230777E-02,  9.911951716590718E-01,  4.574879186241951E-03,  5.633764116293338E+01,  4.526853683838991E+01,  2.459216286797597E+06,  9.612899922711282E-01,  1.657571790422454E+01,  1.743932998431150E+01,  1.017245797093044E+00,  1.043296422527016E+00,  3.744967729763521E+02,
