            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  8.750113258776530E-03,  2.981139690498122E+01,  1.770223450713227E+00,  1.317826650103589E+02,  2.724274792597229E+02,  2.468153924219580E+06,  5.979473935146665E-03,  3.050881814636363E+02,  3.042625514385815E+02,  3.007455264684818E+01,  3.033770838871515E+01,  6.020596525790690E+04,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  8.749978319149568E-03,  2.981139705917383E+01,  1.770223468930105E+00,  1.317826654502941E+02,  2.724279004703711E+02,  2.468153994355364E+06,  5.979475109741251E-03,  3.051532743899563E+02,  3.043283081600113E+02,  3.007454870832992E+01,  3.033770035748601E+01,  6.020595343118305E+04,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  8.749843256291299E-03,  2.981139710298070E+01,  1.770223489101695E+00,  1.317826659386093E+02,  2.724283509032215E+02,  2.468154069286375E+06,  5.979476318662178E-03,  3.052183383544237E+02,  3.043940367058255E+02,  3.007454465471379E+01,  3.033769220644687E+01,  6.020594125884001E+04,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  8.749708158889518E-03,  2.981139703569291E+01,  1.770223511216072E+00,  1.317826664752450E+02,  2.724288304918622E+02,  2.468154149001078E+06,  5.979477561320287E-03,  3.052833734325109E+02,  3.044597371415182E+02,  3.007454048797540E+01,  3.033768394025789E+01,  6.020592874681026E+04,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  8.749573117437147E-03,  2.981139685669676E+01,  1.770223535256733E+00,  1.317826670600290E+02,  2.724293391401966E+02,  2.468154233483043E+06,  5.979478837081411E-03,  3.053483797293288E+02,  3.045254095623821E+02,  3.007453621024128E+01,  3.033767556378579E+01,  6.020591590147952E+04,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  8.749438225730048E-03,  2.981139656541892E+01,  1.770223561209442E+00,  1.317826676928419E+02,  2.724298767318848E+02,  2.468154322712514E+06,  5.979480145269375E-03,  3.054133573702532E+02,  3.045910540839018E+02,  3.007453182377882E+01,  3.033766708213873E+01,  6.020590272965644E+04,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  8.749303578616145E-03,  2.981139616142384E+01,  1.770223589054121E+00,  1.317826683734200E+02,  2.724304431120497E+02,  2.468154416663390E+06,  5.979481485157020E-03,  3.054783065190175E+02,  3.046566708602449E+02,  3.007452733102637E+01,  3.033765850062890E+01,  6.020588923866305E+04,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  8.749169272455724E-03,  2.981139564438017E+01,  1.770223618768609E+00,  1.317826691014451E+02,  2.724310380945652E+02,  2.468154515304434E+06,  5.979482855972154E-03,  3.055432273704477E+02,  3.047222600768834E+02,  3.007452273457327E+01,  3.033764982476637E+01,  6.020587543627476E+04,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  8.749035404186567E-03,  2.981139501405429E+01,  1.770223650328667E+00,  1.317826698765450E+02,  2.724316614669054E+02,  2.468154618600076E+06,  5.979484256907966E-03,  3.056081201455723E+02,  3.047878219457457E+02,  3.007451803712494E+01,  3.033764106019558E+01,  6.020586133061559E+04,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  8.748902069756453E-03,  2.981139427034557E+01,  1.770223683705697E+00,  1.317826706982365E+02,  2.724323129859358E+02,  2.468154726509720E+06,  5.979485687126573E-03,  3.056729850956951E+02,  3.048533567094814E+02,  3.007451324149097E+01,  3.033763221263636E+01,  6.020584693012235E+04,
