            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  3.622831241243306E-02,  1.327019160929827E-05,  1.128958142522529E+02,  2.274021502669471E+02,  8.186578109723495E+00,  2.458945650266503E+06,  6.054611625694836E+01,  1.799269217761332E+02,  1.799319870062216E+02,  1.376901996624855E-05,  1.426784832319884E-05,  5.945880962409143E+00,
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  3.578347356704774E-02,  1.328236299698061E-05,  1.128958467169825E+02,  2.274021390913275E+02,  2.659703700659779E+02,  2.458956608908318E+06,  6.050477828881796E+01,  1.797652434734197E+02,  1.797813237726114E+02,  1.377529074938981E-05,  1.426821850179899E-05,  5.949943296735168E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  3.602897896131563E-02,  1.327117185740019E-05,  1.128958187237205E+02,  2.274021737477884E+02,  1.631234086642248E+02,  2.458973506450203E+06,  6.055819090234278E+01,  1.802360259113527E+02,  1.802197525366882E+02,  1.376718964341939E-05,  1.426320742943859E-05,  5.944695418338081E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  3.606335718925092E-02,  1.327510736796608E-05,  1.128958257443731E+02,  2.274021352242996E+02,  6.096481897878254E+01,  2.458984469710686E+06,  6.052802539338026E+01,  1.800071640465007E+02,  1.800066696519290E+02,  1.377176339023394E-05,  1.426841941250180E-05,  5.947658091608122E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  3.602402524298114E-02,  1.327644102570178E-05,  1.128958347070399E+02,  2.274021828723706E+02,  3.186623551030040E+02,  2.458989480916861E+06,  6.052260940239644E+01,  1.799387495436145E+02,  1.799429720579897E+02,  1.377258497448368E-05,  1.426872892326559E-05,  5.948190330104066E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  3.590908723120897E-02,  1.327552904030716E-05,  1.128958020768624E+02,  2.274021532348453E+02,  2.164084929213548E+02,  2.459000441932229E+06,  6.053967196870958E+01,  1.798069285719718E+02,  1.798201979693148E+02,  1.376999706612825E-05,  1.426446509194934E-05,  5.946513885738741E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  3.592432243181338E-02,  1.327729196068916E-05,  1.128958395974538E+02,  2.274021702542963E+02,  1.134962966081260E+02,  2.459017338220105E+06,  6.052618020514675E+01,  1.803449750431475E+02,  1.803212560871458E+02,  1.377204328417475E-05,  1.426679460766033E-05,  5.947839410645443E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  3.628166184234669E-02,  1.326827804800703E-05,  1.128957950447514E+02,  2.274021829582536E+02,  1.155090131439686E+01,  2.459022357011219E+06,  6.055418644145026E+01,  1.799058085863630E+02,  1.799123464177147E+02,  1.376779658813185E-05,  1.426731512825666E-05,  5.945088542277475E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  3.574294687293108E-02,  1.328401640635074E-05,  1.128958243679040E+02,  2.274021567576063E+02,  2.693393590757297E+02,  2.459033314960102E+06,  6.049729636705664E+01,  1.797398811999565E+02,  1.797576794348756E+02,  1.377642648635123E-05,  1.426883656635172E-05,  5.950679147969914E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  3.602310520888303E-02,  1.327129429982692E-05,  1.128958058391078E+02,  2.274022006858854E+02,  1.664444681584058E+02,  2.459050212069431E+06,  6.055790632031245E+01,  1.802599294469905E+02,  1.802420107903705E+02,  1.376723277449784E-05,  1.426317124916876E-05,  5.944723354467228E+00,
