            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  2.895775494941040E-03,  7.136489417473391E-03,  2.308942497693686E+00,  3.403159729876350E+02,  3.494815926525079E+02,  2.458959298343916E+06,  5.029114221103627E+01,  1.416480616192128E+01,  1.424629517922579E+01,  7.157215105588176E-03,  7.177940793702962E-03,  7.158318228075538E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  2.570281120974025E-03,  7.137720838096866E-03,  2.309221667881594E+00,  3.403121439916631E+02,  3.394061125143724E+02,  2.458973408122905E+06,  5.030274938082319E+01,  2.156249268492205E+02,  2.154538156986582E+02,  7.156114062972460E-03,  7.174507287848054E-03,  7.156666473130037E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.468178760594312E-03,  7.136791391936442E-03,  2.309410517686497E+00,  3.403067093987464E+02,  3.367405247498195E+02,  2.458980508992172E+06,  5.032030192536154E+01,  4.966653187364469E+01,  4.988256317399454E+01,  7.154449853107617E-03,  7.172108314278792E-03,  7.154170110783044E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  2.322496477798478E-03,  7.137017156248343E-03,  2.309676601683811E+00,  3.403018062429040E+02,  3.426914041793505E+02,  2.458994935733098E+06,  5.032893753287522E+01,  2.350970099372202E+02,  2.348791064170231E+02,  7.153631440071378E-03,  7.170245723894414E-03,  7.152942574335993E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  2.357711437140784E-03,  7.136844750363795E-03,  2.309851846236178E+00,  3.402974904126113E+02,  3.410299284424880E+02,  2.459002057871634E+06,  5.032809649101511E+01,  6.815070307758792E+01,  6.840174376301509E+01,  7.153711136929336E-03,  7.170577523494876E-03,  7.153062108444126E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  2.631152802922786E-03,  7.135180164276608E-03,  2.310039968364558E+00,  3.402919638971100E+02,  3.400493381546883E+02,  2.459016346824244E+06,  5.032501200876416E+01,  2.605162961733403E+02,  2.602190715353955E+02,  7.154003440481149E-03,  7.172826716685690E-03,  7.153500528470922E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  2.484877741360454E-03,  7.137895753677866E-03,  2.310224823874512E+00,  3.402880511341254E+02,  3.340685019418830E+02,  2.459023382548871E+06,  5.030736091724052E+01,  9.787051208469171E+01,  9.815245475163961E+01,  7.155676735522335E-03,  7.173457717366803E-03,  7.156010441339343E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  2.323821348643894E-03,  7.140385601384186E-03,  2.310347599125119E+00,  3.402836974068740E+02,  3.245948924435415E+02,  2.459037504289563E+06,  5.029322787396259E+01,  2.987282853690970E+02,  2.984944471847765E+02,  7.157017230817773E-03,  7.173648860251359E-03,  7.158021372224874E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  2.017836740769445E-03,  7.142496391466760E-03,  2.310536567967846E+00,  3.402809796338653E+02,  3.388825347985380E+02,  2.459044941103683E+06,  5.029406383600053E+01,  1.158220143714366E+02,  1.160299248612260E+02,  7.156937923760730E-03,  7.171379456054700E-03,  7.157902395278540E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  2.330773506234955E-03,  7.139409210539608E-03,  2.310712585756391E+00,  3.402765343401942E+02,  3.324308352650067E+02,  2.459059123274758E+06,  5.030301963663711E+01,  3.136570977680457E+02,  3.134634755175247E+02,  7.156088431864873E-03,  7.172767653190137E-03,  7.156628023535227E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  2.305814635080820E-03,  7.137968064414984E-03,  2.310969660041386E+00,  3.402746988719113E+02,  3.285037785921814E+02,  2.459066199688120E+06,  5.032014281637363E+01,  1.489633165706164E+02,  1.490992126862218E+02,  7.154464934366819E-03,  7.170961804318653E-03,  7.154192731799239E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  1.945004633432165E-03,  7.139633081107266E-03,  2.311143262682949E+00,  3.402706060280805E+02,  3.232008866302239E+02,  2.459080403271473E+06,  5.032983115975192E+01,  3.456423349256543E+02,  3.455869357093808E+02,  7.153546762706204E-03,  7.167460444305143E-03,  7.152815570895200E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  1.835485563786778E-03,  7.140576683427389E-03,  2.311370200700707E+00,  3.402685946058993E+02,  3.233407013591932E+02,  2.459087561033111E+06,  5.032813793415738E+01,  1.769017384258220E+02,  1.769130805252605E+02,  7.153707209738421E-03,  7.166837736049452E-03,  7.153056218193010E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.701279020505822E-03,  7.141977824838532E-03,  2.311573810353988E+00,  3.402657013357074E+02,  3.338956585660564E+02,  2.459102079206652E+06,  5.032347583423034E+01,  3.577250441263423E+02,  3.577172890130859E+02,  7.154149028490274E-03,  7.166320232142017E-03,  7.153718896243764E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  1.779079433614246E-03,  7.142903744662374E-03,  2.311788567365945E+00,  3.402622766424512E+02,  3.315812946798101E+02,  2.459116343011231E+06,  5.030780962870385E+01,  1.914179649285558E+02,  1.913776941591996E+02,  7.155634186277649E-03,  7.168364627892923E-03,  7.155946614590765E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  2.068591085463865E-03,  7.142286092311136E-03,  2.312026761398146E+00,  3.402596592411400E+02,  3.286245568965736E+02,  2.459123437944934E+06,  5.029244833186763E+01,  2.575250294645729E+01,  2.585573485481580E+01,  7.157091187339117E-03,  7.171896282367097E-03,  7.158132322857849E+00,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.337636857438685E-03,  7.147622740085094E-03,  2.312274756983855E+00,  3.402575755913202E+02,  3.179793739179251E+02,  2.459137536976633E+06,  5.029133863117949E+01,  2.277852458941636E+02,  2.276718479594268E+02,  7.157196469879133E-03,  7.166770199673171E-03,  7.158290270221761E+00,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  1.450889647363951E-03,  7.145452032108244E-03,  2.312542637439224E+00,  3.402555857906867E+02,  3.345298566588929E+02,  2.459145018864637E+06,  5.030569873537499E+01,  4.261573633227090E+01,  4.272845750432760E+01,  7.155834358096658E-03,  7.166216684085071E-03,  7.156246887529023E+00,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  1.512332600184516E-03,  7.143490294823670E-03,  2.312802036702107E+00,  3.402520158937391E+02,  3.434719729121501E+02,  2.459159505609643E+06,  5.032177752575958E+01,  2.250566361605393E+02,  2.249341367831067E+02,  7.154309991054968E-03,  7.165129687286265E-03,  7.153960326932350E+00,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  1.538992846813935E-03,  7.142449698038165E-03,  2.313140628175588E+00,  3.402487573791630E+02,  3.320646475852820E+02,  2.459166433943794E+06,  5.033075927487780E+01,  6.784869240248440E+01,  6.801214976454389E+01,  7.153458819992111E-03,  7.164467941946057E-03,  7.152683670712895E+00,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  1.493417378245115E-03,  7.142837737855927E-03,  2.313350885322917E+00,  3.402454296709525E+02,  3.363057985035483E+02,  2.459180826148769E+06,  5.033010378222139E+01,  2.550039159595993E+02,  2.548386911631841E+02,  7.153520930328920E-03,  7.164204122801911E-03,  7.152776826324891E+00,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  1.081737798217536E-03,  7.146302769172174E-03,  2.313622436944610E+00,  3.402405564569724E+02,  3.377105082664038E+02,  2.459188009141792E+06,  5.032460971546798E+01,  8.499113018577533E+01,  8.511462931925620E+01,  7.154041566344509E-03,  7.161780363516846E-03,  7.153557713321896E+00,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  1.247431039004961E-03,  7.146727784834172E-03,  2.313833486076408E+00,  3.402370676282609E+02,  3.492329327609997E+02,  2.459202547456325E+06,  5.030760099788278E+01,  2.648453698784587E+02,  2.647030229899479E+02,  7.155653969700354E-03,  7.164580154566536E-03,  7.155976291041005E+00,
