            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.498344662506995E-02,  6.174942598324145E-05,  2.593561916059191E+01,  8.454924772771524E+01,  3.318851928212848E+02,  2.458959481379138E+06,  1.128054160651827E+03,  1.112496736844375E+02,  1.128389169616798E+02,  6.268871905925988E-05,  6.362801213527832E-05,  3.191336130456539E-01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.493669957484171E-02,  6.175212461610770E-05,  2.600097572483214E+01,  8.468910123974855E+01,  3.342218325708176E+02,  2.458970645562257E+06,  1.128060514439413E+03,  2.386632648170287E+02,  2.372155449441537E+02,  6.268848366339013E-05,  6.362484271067258E-05,  3.191318155293301E-01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.557207093150102E-02,  6.171961736881554E-05,  2.607116217006284E+01,  8.481559017971784E+01,  3.400378363623468E+02,  2.458981493677788E+06,  1.127859748697742E+03,  2.619128563994431E+00,  2.702286331663271E+00,  6.269592272459891E-05,  6.367222808038228E-05,  3.191886228900942E-01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.493512220595151E-02,  6.175095902121105E-05,  2.614647303846933E+01,  8.492866201871131E+01,  3.455748005810242E+02,  2.458992341541047E+06,  1.128095163651939E+03,  1.268644014202399E+02,  1.282183529934879E+02,  6.268720001417163E-05,  6.362344100713219E-05,  3.191220134608022E-01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  1.501400286402699E-02,  6.174989168129353E-05,  2.622500410517754E+01,  8.502492410189662E+01,  3.478887742859123E+02,  2.459003505670749E+06,  1.127988910416295E+03,  2.543404339649844E+02,  2.526923943720578E+02,  6.269113658553792E-05,  6.363238148978230E-05,  3.191520738152813E-01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  1.554586047416264E-02,  6.172048713892563E-05,  2.630668291508290E+01,  8.510436608535537E+01,  3.544565776322805E+02,  2.459014354405741E+06,  1.127880951301074E+03,  1.758846763547614E+01,  1.813691842701386E+01,  6.269513699099615E-05,  6.366978684306668E-05,  3.191826225850518E-01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.488685279614451E-02,  6.175358199769212E-05,  2.639103819809429E+01,  8.516954998269063E+01,  3.593512714029803E+02,  2.459025201666393E+06,  1.128106203683185E+03,  1.425177256975977E+02,  1.435406290832024E+02,  6.268679102798848E-05,  6.362000005828482E-05,  3.191188904241695E-01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.511289819953274E-02,  6.174669931690948E-05,  2.647742875930609E+01,  8.521701225918008E+01,  1.700124273988833E+00,  2.459036365789906E+06,  1.127906499982779E+03,  2.700044458196072E+02,  2.682728963337515E+02,  6.269419023158151E-05,  6.364168114625356E-05,  3.191753926460186E-01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.547082948263412E-02,  6.172367719274344E-05,  2.656585275725305E+01,  8.524618223994972E+01,  8.896338651505648E+00,  2.459047215035103E+06,  1.127922450363850E+03,  3.267015747215720E+01,  3.364291152810264E+01,  6.269359917523614E-05,  6.366352115772882E-05,  3.191708790651959E-01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.483115231630916E-02,  6.175766340502063E-05,  2.665445783925254E+01,  8.525957029037625E+01,  1.322046768311053E+01,  2.459058061749167E+06,  1.128090045318278E+03,  1.582155684979293E+02,  1.588355953467533E+02,  6.268738962891894E-05,  6.361711585281725E-05,  3.191234613708784E-01,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  1.522748854116419E-02,  6.174200233967346E-05,  2.674332037764876E+01,  8.525583534021079E+01,  1.578152960366393E+01,  2.459069226021480E+06,  1.127838346979719E+03,  2.855384432459887E+02,  2.838489081808146E+02,  6.269671586203116E-05,  6.365142938438886E-05,  3.191946797730879E-01,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  1.536034031724811E-02,  6.172860261917967E-05,  2.683296740015351E+01,  8.523550755233016E+01,  2.334632332643238E+01,  2.459080075552467E+06,  1.127977309782383E+03,  4.787985334346111E+01,  4.920234379282264E+01,  6.269156641432507E-05,  6.365453020947046E-05,  3.191553561209965E-01,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  1.477157015293068E-02,  6.176272400193608E-05,  2.692102956539437E+01,  8.519842931493689E+01,  2.717568884935285E+01,  2.459090921783501E+06,  1.128053729046133E+03,  1.739644970870208E+02,  1.741392635637828E+02,  6.268873504951852E-05,  6.361474609710096E-05,  3.191337351496644E-01,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.533458578613073E-02,  6.173640329645398E-05,  2.700742645663253E+01,  8.514494183220918E+01,  3.022221882601352E+01,  2.459102086447944E+06,  1.127807776360376E+03,  3.008488002416652E+02,  2.993254011863131E+02,  6.269784883806716E-05,  6.365929437968035E-05,  3.192033319381606E-01,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  1.523495749807516E-02,  6.173440745612464E-05,  2.709246043156709E+01,  8.507817898015401E+01,  3.781822817500662E+01,  2.459112935974102E+06,  1.128033648678776E+03,  6.319909824540685E+01,  6.477065407761773E+01,  6.268947900433213E-05,  6.364455055253961E-05,  3.191394161172893E-01,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.472126376077218E-02,  6.176756682895665E-05,  2.717465333123807E+01,  8.499583772952612E+01,  4.121915642995088E+01,  2.459124100928010E+06,  1.128007455341950E+03,  1.897520793072181E+02,  1.894714322411907E+02,  6.269044947089911E-05,  6.361333211284157E-05,  3.191468268185050E-01,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.540621485762753E-02,  6.173130714938810E-05,  2.725380752490448E+01,  8.489827225927296E+01,  4.501573818228688E+01,  2.459134947077614E+06,  1.127824360424890E+03,  3.159273145967983E+02,  3.146822187594453E+02,  6.269723421061584E-05,  6.366316127184357E-05,  3.191986382209155E-01,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  1.511161808518416E-02,  6.174041275353231E-05,  2.732893763413955E+01,  8.478983840581218E+01,  5.234285741183808E+01,  2.459145796340778E+06,  1.128080973106692E+03,  7.858124305155654E+01,  8.028475057575316E+01,  6.268772572329147E-05,  6.363503869305063E-05,  3.191260278139200E-01,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  1.469631934185276E-02,  6.177081894164185E-05,  2.739977000187993E+01,  8.466877983866820E+01,  5.537306319917285E+01,  2.459156960938044E+06,  1.127961209174745E+03,  2.055391978141424E+02,  2.048250098892365E+02,  6.269216298916205E-05,  6.361350703668224E-05,  3.191599117698278E-01,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  1.542753296359131E-02,  6.172791977375751E-05,  2.746670528087687E+01,  8.453547256614121E+01,  6.006732892453571E+01,  2.459167807845606E+06,  1.127880565527958E+03,  3.308492437795720E+02,  3.299733932057069E+02,  6.269515128689341E-05,  6.366238280002932E-05,  3.191827317562520E-01,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  1.499953736098677E-02,  6.174665797078920E-05,  2.752763736392643E+01,  8.439239879991331E+01,  6.696691282817190E+01,  2.459178656710687E+06,  1.128102372295994E+03,  9.395887169224426E+01,  9.567111898167423E+01,  6.268693296382579E-05,  6.362720795686236E-05,  3.191199742513636E-01,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  1.470890315969165E-02,  6.177143886516300E-05,  2.758257362850840E+01,  8.423955098064363E+01,  6.967124102589668E+01,  2.459189820994979E+06,  1.127922621029283E+03,  2.212711803272054E+02,  2.201746034326430E+02,  6.269359285114363E-05,  6.361574683712424E-05,  3.191708307716027E-01,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  1.540573377752062E-02,  6.172654106560668E-05,  2.763256210993812E+01,  8.407918008782180E+01,  7.525033460800945E+01,  2.459200668659779E+06,  1.127955813481952E+03,  3.457203290067284E+02,  3.452766222420049E+02,  6.269236291861456E-05,  6.365818477162245E-05,  3.191614385041338E-01,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  1.489730502014491E-02,  6.175344347484841E-05,  2.767580039193702E+01,  8.391074145662101E+01,  8.169372824834588E+01,  2.459211517104935E+06,  1.128092045348033E+03,  1.093065516583400E+02,  1.109075858013209E+02,  6.268731553527142E-05,  6.362118759569442E-05,  3.191228955868887E-01,
