            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  1.567302395707734E-03,  8.663059394845813E-04,  1.008477773208726E+02,  1.707981562324137E+02,  3.037364070764227E+02,  2.458960032697117E+06,  2.548172538180144E+02,  2.446449638814337E+02,  2.444828010633982E+02,  8.676658342252363E-04,  8.690257289658912E-04,  1.412777175038175E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.143595437903667E-03,  8.673155722307148E-04,  1.008799767886883E+02,  1.707652336981649E+02,  2.885759022319260E+02,  2.458969867369628E+06,  2.545343783055958E+02,  1.706984849593824E+02,  1.707196361353373E+02,  8.683085659454227E-04,  8.693015596601307E-04,  1.414347257908641E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  1.203478964460423E-03,  8.667635203264524E-04,  1.009132273621038E+02,  1.707309777811385E+02,  2.923594797025581E+02,  2.458981190611905E+06,  2.547546796116656E+02,  7.779904617771300E+01,  7.793388242609572E+01,  8.678079088899939E-04,  8.688522974535356E-04,  1.413124188920748E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  1.777458964431867E-03,  8.669186826111418E-04,  1.009438922932721E+02,  1.706966645249188E+02,  2.962500767253690E+02,  2.458992513797138E+06,  2.544667782406531E+02,  3.447836149328327E+02,  3.447300407212420E+02,  8.684623387804788E-04,  8.700059949498157E-04,  1.414722984622937E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  1.266747535781215E-03,  8.669215119285292E-04,  1.009769755005826E+02,  1.706612016088546E+02,  2.926273798739458E+02,  2.459003807506211E+06,  2.546608422807601E+02,  2.592800553305755E+02,  2.591374721906267E+02,  8.680210754869085E-04,  8.691206390452877E-04,  1.413644896387741E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  9.129404180833470E-04,  8.677643738526107E-04,  1.010070815398904E+02,  1.706261586046287E+02,  3.005806065162986E+02,  2.459013732483834E+06,  2.544250407285740E+02,  1.622000765333696E+02,  1.622320220823921E+02,  8.685573149308331E-04,  8.693502560090555E-04,  1.414955064835995E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.325452014456923E-03,  8.670475832468163E-04,  1.010396915057808E+02,  1.705909664664809E+02,  3.052488753636250E+02,  2.459025059277332E+06,  2.545828538112872E+02,  6.841218382260153E+01,  6.855350138042425E+01,  8.681983384835076E-04,  8.693490937201989E-04,  1.414077949911170E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.655157912141771E-03,  8.671698962940057E-04,  1.010681197348266E+02,  1.705553670923923E+02,  2.959155242384633E+02,  2.459036330683602E+06,  2.544029566712012E+02,  3.486323593333811E+02,  3.485948992723751E+02,  8.686075790009354E-04,  8.700452617078652E-04,  1.415077893396011E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  1.015742049925561E-03,  8.671857161335697E-04,  1.011002636575072E+02,  1.705197022010133E+02,  2.986035434298160E+02,  2.459047649212538E+06,  2.546404360988525E+02,  2.568165025382826E+02,  2.567032076001357E+02,  8.680674487434301E-04,  8.689491813532905E-04,  1.413758181989001E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.003319007262314E-03,  8.675234565105753E-04,  1.011286190109956E+02,  1.704826885769317E+02,  3.209068570058481E+02,  2.459057630695581E+06,  2.544964945277929E+02,  1.453949718271362E+02,  1.454601988512951E+02,  8.683947334524545E-04,  8.692660103943337E-04,  1.414557794471646E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  1.307299369322690E-03,  8.665493675411595E-04,  1.011599194174449E+02,  1.704463588783827E+02,  2.979713198227197E+02,  2.459068849171307E+06,  2.548093882110071E+02,  7.920206906516862E+01,  7.934926698650649E+01,  8.676836898817134E-04,  8.688180122222673E-04,  1.412820785480183E+00,
