            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  7.377826480787700E-04,  7.864642201457405E-04,  2.908102669794879E+01,  4.873931725809469E+01,  1.646253044445652E+02,  2.458959867534176E+06,  3.203810149307278E+02,  2.678795089435077E+02,  2.677950260865168E+02,  7.870448882075191E-04,  7.876255562692978E-04,  1.123662087398776E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  1.091693629986159E-03,  7.854339944879227E-04,  2.906906107103028E+01,  4.872205286566321E+01,  2.353939214501567E+02,  2.458970188912353E+06,  3.208410450515160E+02,  1.120016456466671E+02,  1.121175746109735E+02,  7.862923848757981E-04,  7.871507752636735E-04,  1.122050951873057E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  2.547285742527917E-04,  7.857883861411108E-04,  2.906591518658240E+01,  4.874513146314198E+01,  3.326272057480749E+02,  2.458981714719431E+06,  3.210270708552354E+02,  2.897851416397695E+02,  2.897576720477335E+02,  7.859885998965415E-04,  7.861888136519720E-04,  1.121400756144765E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  8.348760385432843E-04,  7.865891752241675E-04,  2.907093968449218E+01,  4.874001463515365E+01,  1.890145606622512E+02,  2.458992490512380E+06,  3.202579933757409E+02,  3.483066182338920E+02,  3.482872086117965E+02,  7.872464284036705E-04,  7.879036815831734E-04,  1.124093722705719E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  4.562118847754167E-04,  7.855235517963033E-04,  2.906102873908508E+01,  4.875124950342196E+01,  2.801603643757194E+02,  2.459002876095233E+06,  3.210923416307626E+02,  1.720749165514649E+02,  1.720821204815354E+02,  7.858820805414784E-04,  7.862406092866536E-04,  1.121172800857327E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  6.271532203551804E-04,  7.860377019773087E-04,  2.907152440151211E+01,  4.877317958256127E+01,  1.313805291622593E+02,  2.459014757086508E+06,  3.206950664274482E+02,  2.358632668629795E+02,  2.358038091051993E+02,  7.865309774127023E-04,  7.870242528480960E-04,  1.122561703272863E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  1.080597334945068E-03,  7.861099131750529E-04,  2.907801313406489E+01,  4.875562356472934E+01,  2.159401031305637E+02,  2.459025121449420E+06,  3.204326714045666E+02,  6.618555409930561E+01,  6.629890025623726E+01,  7.869603003783493E-04,  7.878106875816458E-04,  1.123480943506778E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  1.819718388617091E-04,  7.855190086394484E-04,  2.907585485928537E+01,  4.876706290983847E+01,  2.511335344814086E+02,  2.459036454199012E+06,  3.212272823210341E+02,  3.059698883860387E+02,  3.059530097163977E+02,  7.856619769941258E-04,  7.858049453488033E-04,  1.120701820215309E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  9.565372379414737E-04,  7.862072177297696E-04,  2.908877579645660E+01,  4.876024918527948E+01,  1.923368118699456E+02,  2.459047494432707E+06,  3.204328705930037E+02,  2.797531287582531E+02,  2.796450800737280E+02,  7.869599742499090E-04,  7.877127307700483E-04,  1.123480245125202E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  9.318472055431540E-04,  7.856570302249099E-04,  2.908308847243304E+01,  4.873321978741722E+01,  2.655482571400245E+02,  2.459057823441813E+06,  3.207814144223225E+02,  1.214344307953724E+02,  1.215254857043932E+02,  7.863898253861635E-04,  7.871226205474170E-04,  1.122259531925514E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  2.481348485185987E-04,  7.856524176560154E-04,  2.907986112229237E+01,  4.874597134110326E+01,  1.069314734274850E+02,  2.459069673607806E+06,  3.211135887951243E+02,  1.950735541982175E+02,  1.950661618574821E+02,  7.858474137849937E-04,  7.860424099139719E-04,  1.121098616071604E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  8.602566369010923E-04,  7.865290186843950E-04,  2.908352706651301E+01,  4.873208129344010E+01,  2.198267773852194E+02,  2.459080127029218E+06,  3.202825317662023E+02,  3.571080991155313E+02,  3.571031203272368E+02,  7.872062180580892E-04,  7.878834174317834E-04,  1.124007600460678E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  1.927641339834531E-04,  7.857923697686179E-04,  2.906911080634998E+01,  4.873196017407280E+01,  3.357353048111941E+02,  2.459090589758421E+06,  3.210544758879541E+02,  1.561100352743141E+02,  1.561189789968781E+02,  7.859438715583783E-04,  7.860953733481388E-04,  1.121305033995656E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  9.202321339506956E-04,  7.856803339112133E-04,  2.907315623409873E+01,  4.875677792950551E+01,  1.663023979627616E+02,  2.459102406365226E+06,  3.207727365422250E+02,  2.405553875745403E+02,  2.404636096229221E+02,  7.864040081497804E-04,  7.871276823883475E-04,  1.122289892466005E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  9.407968659732893E-04,  7.863437698862846E-04,  2.907664209072454E+01,  4.874778623369226E+01,  2.470052689633829E+02,  2.459112758720879E+06,  3.203569781880594E+02,  7.473259418710553E+01,  7.483662891982316E+01,  7.870842562878570E-04,  7.878247426894295E-04,  1.123746397022976E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  2.807289158920997E-04,  7.854925303683665E-04,  2.907143380715769E+01,  4.876718827253325E+01,  1.780509599120698E+02,  2.459123767424796E+06,  3.211959298038850E+02,  5.864241258332176E+01,  5.866988801432967E+01,  7.857131027559054E-04,  7.859336751434444E-04,  1.120811213952206E+00,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.081454702517548E-03,  7.860556570519013E-04,  2.908651078952703E+01,  4.877375700133819E+01,  2.191927700628802E+02,  2.459135118667474E+06,  3.204654353566261E+02,  2.924883559451500E+02,  2.923737948443799E+02,  7.869066609608399E-04,  7.877576648697784E-04,  1.123366080336802E+00,
