            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  5.540122806157838E-02,  2.402040366371168E-03,  5.054530782949881E+00,  9.093764771695778E+01,  9.324453402111585E+01,  2.458946491167498E+06,  1.315856412604240E+01,  1.722302418078958E+02,  1.730332503281894E+02,  2.542921330970941E-03,  2.683802295570714E-03,  2.735860816967986E+01,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  5.605849549813061E-02,  2.369869049299742E-03,  5.138673065292338E+00,  9.002119683692381E+01,  1.255772515424950E+02,  2.458976208790002E+06,  1.341340346899518E+01,  2.839354057144234E+02,  2.776066165763677E+02,  2.510610072761186E-03,  2.651351096222631E-03,  2.683882586788156E+01,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  6.900342189272797E-02,  2.346934704422082E-03,  5.187345963025463E+00,  8.942025446695769E+01,  1.036221161039125E+02,  2.458974718622469E+06,  1.333148428761928E+01,  9.035250205625694E+01,  9.823047693332950E+01,  2.520884350824823E-03,  2.694833997227565E-03,  2.700374483689906E+01,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  4.390121183419126E-02,  2.444051189988443E-03,  5.217609519657135E+00,  8.895120223969043E+01,  1.034398821332960E+02,  2.459001947852804E+06,  1.305559271768096E+01,  2.360521244629131E+02,  2.320064985686294E+02,  2.556274749262196E-03,  2.668498308535950E-03,  2.757438959569092E+01,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  5.089538498514421E-02,  2.406020270265668E-03,  5.254368466821369E+00,  8.891055934771163E+01,  1.280560746900407E+02,  2.459003673198477E+06,  1.321995855020424E+01,  3.565469669559612E+02,  3.561719459790993E+02,  2.535042220006493E-03,  2.664064169747318E-03,  2.723155285493979E+01,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  6.489040862430072E-02,  2.346470205742387E-03,  5.278457997616176E+00,  8.889519612807018E+01,  1.054982901069242E+02,  2.459002209649040E+06,  1.342391178897872E+01,  1.632394786059414E+02,  1.652284510419672E+02,  2.509299687847652E-03,  2.672129169952917E-03,  2.681781627137676E+01,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  3.445072938970797E-02,  2.445344024947976E-03,  5.277132570569187E+00,  8.885355374120785E+01,  1.070692573305821E+02,  2.459029482927017E+06,  1.323913462872672E+01,  3.049923618456595E+02,  3.016782918801986E+02,  2.532593726058489E-03,  2.619843427169002E-03,  2.719210961257694E+01,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  4.931254716950342E-02,  2.426780652379394E-03,  5.258682849087510E+00,  8.886818331514854E+01,  1.249391699577933E+02,  2.459030778107650E+06,  1.308334356365092E+01,  7.206164792507111E+01,  7.753336499584269E+01,  2.552658757780070E-03,  2.678536863180746E-03,  2.751590205122930E+01,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  5.781989971491971E-02,  2.383441198048609E-03,  5.237254284157467E+00,  8.871998424466625E+01,  1.028801490624067E+02,  2.459056292581116E+06,  1.326178908501110E+01,  2.399996257134194E+02,  2.344705899218037E+02,  2.529708701475906E-03,  2.675976204903203E-03,  2.714565868091536E+01,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  3.104909198695804E-02,  2.433927792821443E-03,  5.190825220709450E+00,  8.831546914425483E+01,  9.562521597575217E+01,  2.459055872970697E+06,  1.340290732783475E+01,  3.121576390503743E+01,  3.312258467196980E+01,  2.511920648087862E-03,  2.589913503354282E-03,  2.685984400208176E+01,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  5.557342671911737E-02,  2.391163355613860E-03,  5.121355519650931E+00,  8.770394189980630E+01,  1.178207378466573E+02,  2.459057622070109E+06,  1.324482779623671E+01,  1.528178945244872E+02,  1.555563355051883E+02,  2.531867932630378E-03,  2.672572509646895E-03,  2.718042133415187E+01,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  6.108466529424896E-02,  2.395267748553399E-03,  5.073423341684010E+00,  8.725632116913832E+01,  9.776161316420135E+01,  2.459083239984696E+06,  1.309532968025628E+01,  3.191165811483565E+02,  3.142609804361792E+02,  2.551100892716869E-03,  2.706934036880339E-03,  2.749071682729524E+01,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  4.215751744551432E-02,  2.427574118791783E-03,  5.048582797042584E+00,  8.648417332178374E+01,  1.024003126868152E+02,  2.459083483414408E+06,  1.322483563723079E+01,  1.004106965094300E+02,  1.051119558631072E+02,  2.534418929005577E-03,  2.641263739219372E-03,  2.722151033669725E+01,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  6.741403812590346E-02,  2.340602523918489E-03,  5.043982392289038E+00,  8.491347311137832E+01,  1.250486861065778E+02,  2.459112298994804E+06,  1.341991285595337E+01,  2.222446642647515E+02,  2.173625854503194E+02,  2.509798152242056E-03,  2.678993780565624E-03,  2.682580757894385E+01,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  6.458281362874588E-02,  2.368941913189740E-03,  5.019951493978841E+00,  8.379076754293889E+01,  1.040550052800735E+02,  2.459110827607220E+06,  1.323988729208672E+01,  2.865631646761002E+01,  3.247215855714814E+01,  2.532497742937065E-03,  2.696053572684389E-03,  2.719056379091434E+01,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  4.782273661652367E-02,  2.435456029507077E-03,  5.009414177854270E+00,  8.276550757767873E+01,  1.215352743816576E+02,  2.459111885215792E+06,  1.304410119328744E+01,  1.573742660913200E+02,  1.593716487329098E+02,  2.557775871325579E-03,  2.680095713144081E-03,  2.759868193795198E+01,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  7.073160993941013E-02,  2.341657229419563E-03,  5.080224624035042E+00,  8.189872116500692E+01,  1.349184661323737E+02,  2.459140183590038E+06,  1.333934944911526E+01,  2.896270609261408E+02,  2.817840243013467E+02,  2.519893342403354E-03,  2.698129455387144E-03,  2.698782285997291E+01,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  6.699192864783737E-02,  2.340748122712094E-03,  5.133848942155795E+00,  8.108127118645406E+01,  1.121639066791361E+02,  2.459138630523183E+06,  1.342777217531179E+01,  9.715633427557229E+01,  1.046729819850505E+02,  2.508818727923503E-03,  2.676889333134912E-03,  2.681010634525759E+01,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  5.118352144223318E-02,  2.415755301119359E-03,  5.182867646230369E+00,  8.008200199875840E+01,  1.404017851826647E+02,  2.459168011028219E+06,  1.313414494475017E+01,  2.130679498686908E+02,  2.100322728185054E+02,  2.546072244435920E-03,  2.676389187752481E-03,  2.740947366687126E+01,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  7.295258958695691E-02,  2.362894777962427E-03,  5.223393144033370E+00,  7.986542463644864E+01,  1.424009000352260E+02,  2.459168014232106E+06,  1.311276362158318E+01,  3.569547952938563E+02,  3.564664079649698E+02,  2.548839197889186E-03,  2.734783617815944E-03,  2.745416682471510E+01,
