            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458959.580000000, A.D. 2020-Apr-20 01:55:12.0000,  4.306104369642016E-03,  2.809050720558233E-03,  2.257933902503932E+00,  3.379316033589519E+02,  3.541084726827601E+02,  2.458959229165354E+06,  2.032250291780656E+02,  7.129838117660850E+01,  7.176657397792727E+01,  2.821199098323153E-03,  2.833347476088072E-03,  1.771435346600779E+00,
2458970.538000000, A.D. 2020-May-01 00:54:43.2000,  4.065766480415551E-03,  2.807538322700870E-03,  2.258195789468674E+00,  3.379064294592976E+02,  3.397490635977195E+02,  2.458969773681622E+06,  2.034629095410901E+02,  1.555104409357710E+02,  1.557026806690721E+02,  2.818999717259605E-03,  2.830461111818340E-03,  1.769364258144045E+00,
2458981.496000000, A.D. 2020-May-11 23:54:14.4000,  3.965184089555275E-03,  2.811017383152993E-03,  2.258341251936401E+00,  3.378784977579928E+02,  3.188547812412967E+02,  2.458982055874764E+06,  2.031160681822892E+02,  2.462804392137445E+02,  2.458652773624565E+02,  2.822207957242467E-03,  2.833398531331942E-03,  1.772385627693981E+00,
2458992.454000000, A.D. 2020-May-22 22:53:45.6000,  4.081147724753306E-03,  2.807738431616193E-03,  2.258428363088193E+00,  3.378530417595640E+02,  3.175245069692331E+02,  2.458992663199063E+06,  2.034364456637000E+02,  3.174412861017187E+02,  3.171237917568085E+02,  2.819244183601623E-03,  2.830749935587054E-03,  1.769594424565963E+00,
2459003.412000000, A.D. 2020-Jun-02 21:53:16.8000,  4.235585680418004E-03,  2.807566983330877E-03,  2.258489427348843E+00,  3.378253291417525E+02,  3.196215914033680E+02,  2.459003287966188E+06,  2.034077575899718E+02,  2.522943968715258E+01,  2.543731752856518E+01,  2.819509256362934E-03,  2.831451529394991E-03,  1.769844003323049E+00,
2459014.370000000, A.D. 2020-Jun-13 20:52:48.0000,  4.225687583160232E-03,  2.810326580189156E-03,  2.258470672527495E+00,  3.378032242586061E+02,  3.177639204512093E+02,  2.459013892861098E+06,  2.031112555529083E+02,  9.691228155561762E+01,  9.739267907589625E+01,  2.822252537694233E-03,  2.834178495199310E-03,  1.772427623570195E+00,
2459025.328000000, A.D. 2020-Jun-24 19:52:19.2000,  4.091882242690319E-03,  2.807159308061923E-03,  2.258527332938714E+00,  3.377761001768556E+02,  2.971412932186012E+02,  2.459026176113718E+06,  2.034961129142329E+02,  1.874121550506202E+02,  1.873519701112071E+02,  2.818693068175183E-03,  2.830226828288443E-03,  1.769075560434555E+00,
2459036.286000000, A.D. 2020-Jul-05 18:51:50.4000,  4.126779499267106E-03,  2.809774521388819E-03,  2.258491700787495E+00,  3.377540992070336E+02,  2.812914323428945E+02,  2.459036713590128E+06,  2.032013903903302E+02,  2.731130914262574E+02,  2.726407682179194E+02,  2.821417890899851E-03,  2.833061260410882E-03,  1.771641420900097E+00,
2459047.244000000, A.D. 2020-Jul-16 17:51:21.6000,  4.754304776315315E-03,  2.807448230781310E-03,  2.258538697258465E+00,  3.377290371697432E+02,  2.808372062684336E+02,  2.459047325517608E+06,  2.032617338552804E+02,  3.434305896105894E+02,  3.432743347928470E+02,  2.820859456368034E-03,  2.834270681954759E-03,  1.771115463652963E+00,
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  4.638096509330399E-03,  2.808295231557391E-03,  2.258395755795397E+00,  3.377054974741670E+02,  2.799233537151733E+02,  2.459057935338286E+06,  2.032053683547333E+02,  5.418709181623451E+01,  5.461955420461997E+01,  2.821381069246152E-03,  2.834466906934912E-03,  1.771606739107168E+00,
